year,species_code,sex,sex_desc,length,iss,nss,nhl
1991,21720,0,total,19,2.309337134711333,1,1
1991,21720,0,total,20,1.6584766584766586,1,1
1991,21720,0,total,21,2.7244138955397657,2,1
1991,21720,0,total,21,2.7244138955397657,2,1
1991,21720,0,total,22,3.7407620153871046,4,1
1991,21720,0,total,22,3.7407620153871046,4,1
1991,21720,0,total,23,3.815886789154081,4,1
1991,21720,0,total,23,3.815886789154081,4,1
1991,21720,0,total,24,4.207438963291466,4,1
1991,21720,0,total,24,4.207438963291466,4,1
1991,21720,0,total,25,2.078199282041331,1,1
1991,21720,0,total,26,2.5560709877856747,2,1
1991,21720,0,total,26,2.5560709877856747,2,1
1991,21720,0,total,27,1.9043928149282074,2,2
1991,21720,0,total,28,1.6993432585474824,1,1
1991,21720,0,total,30,1.9213241941454378,3,2
1991,21720,0,total,30,1.9213241941454378,3,1
1991,21720,0,total,31,3.0708537173237214,11,4
1991,21720,0,total,31,3.0708537173237214,11,5
1991,21720,0,total,32,3.019889291713118,13,5
1991,21720,0,total,32,3.019889291713118,13,6
1991,21720,0,total,33,3.1067738954156408,13,4
1991,21720,0,total,33,3.1067738954156408,13,5
1991,21720,0,total,34,4.080435401022482,23,5
1991,21720,0,total,34,4.080435401022482,23,6
1991,21720,0,total,35,3.862518538858875,25,9
1991,21720,0,total,35,3.862518538858875,25,9
1991,21720,0,total,36,5.432677505945373,22,5
1991,21720,0,total,36,5.432677505945373,22,9
1991,21720,0,total,37,5.017698623116566,22,7
1991,21720,0,total,37,5.017698623116566,22,6
1991,21720,0,total,38,6.192819138500192,24,9
1991,21720,0,total,38,6.192819138500192,24,5
1991,21720,0,total,39,4.011133698770284,25,8
1991,21720,0,total,39,4.011133698770284,25,5
1991,21720,0,total,40,6.068699261395211,21,8
1991,21720,0,total,40,6.068699261395211,21,6
1991,21720,0,total,41,4.2942572682645,16,6
1991,21720,0,total,41,4.2942572682645,16,5
1991,21720,0,total,42,5.3930528089946606,18,5
1991,21720,0,total,42,5.3930528089946606,18,7
1991,21720,0,total,43,3.9804854170545774,13,4
1991,21720,0,total,43,3.9804854170545774,13,6
1991,21720,0,total,44,5.322817714542387,16,7
1991,21720,0,total,44,5.322817714542387,16,5
1991,21720,0,total,45,4.196703481503011,11,5
1991,21720,0,total,45,4.196703481503011,11,4
1991,21720,0,total,46,4.554903952226266,17,5
1991,21720,0,total,46,4.554903952226266,17,8
1991,21720,0,total,47,3.4980288429386395,13,5
1991,21720,0,total,47,3.4980288429386395,13,4
1991,21720,0,total,48,4.815707666696194,14,5
1991,21720,0,total,48,4.815707666696194,14,5
1991,21720,0,total,49,4.978066653301093,21,8
1991,21720,0,total,49,4.978066653301093,21,6
1991,21720,0,total,50,3.730521004659261,6,3
1991,21720,0,total,50,3.730521004659261,6,2
1991,21720,0,total,51,5.9662028397723335,19,6
1991,21720,0,total,51,5.9662028397723335,19,9
1991,21720,0,total,52,2.867826266533996,9,4
1991,21720,0,total,52,2.867826266533996,9,5
1991,21720,0,total,53,6.209306933675348,14,4
1991,21720,0,total,53,6.209306933675348,14,7
1991,21720,0,total,54,4.849306188741482,16,7
1991,21720,0,total,54,4.849306188741482,16,7
1991,21720,0,total,55,4.396036820868327,11,6
1991,21720,0,total,55,4.396036820868327,11,3
1991,21720,0,total,56,3.9573002463755125,17,6
1991,21720,0,total,56,3.9573002463755125,17,7
1991,21720,0,total,57,4.712278487650136,19,10
1991,21720,0,total,57,4.712278487650136,19,4
1991,21720,0,total,58,4.4652087152352955,14,6
1991,21720,0,total,58,4.4652087152352955,14,6
1991,21720,0,total,59,5.756141258237677,11,7
1991,21720,0,total,59,5.756141258237677,11,4
1991,21720,0,total,60,9.684359704938018,27,12
1991,21720,0,total,60,9.684359704938018,27,8
1991,21720,0,total,61,5.925467159273129,28,6
1991,21720,0,total,61,5.925467159273129,28,12
1991,21720,0,total,62,4.239790089890485,16,8
1991,21720,0,total,62,4.239790089890485,16,6
1991,21720,0,total,63,5.852225461907297,20,8
1991,21720,0,total,63,5.852225461907297,20,9
1991,21720,0,total,64,6.011570602373278,16,10
1991,21720,0,total,64,6.011570602373278,16,2
1991,21720,0,total,65,5.70416707119616,17,4
1991,21720,0,total,65,5.70416707119616,17,7
1991,21720,0,total,66,7.884904246686846,19,7
1991,21720,0,total,66,7.884904246686846,19,7
1991,21720,0,total,67,5.815204934853595,16,5
1991,21720,0,total,67,5.815204934853595,16,5
1991,21720,0,total,68,6.5793007525214025,18,7
1991,21720,0,total,68,6.5793007525214025,18,5
1991,21720,0,total,69,5.91108973849465,15,8
1991,21720,0,total,69,5.91108973849465,15,4
1991,21720,0,total,70,6.8561035062596245,18,6
1991,21720,0,total,70,6.8561035062596245,18,7
1991,21720,0,total,71,4.280005434545433,13,6
1991,21720,0,total,71,4.280005434545433,13,4
1991,21720,0,total,72,3.7815355227911445,10,6
1991,21720,0,total,72,3.7815355227911445,10,3
1991,21720,0,total,73,4.190415824609511,10,6
1991,21720,0,total,73,4.190415824609511,10,3
1991,21720,0,total,74,4.1833226775020265,10,5
1991,21720,0,total,74,4.1833226775020265,10,2
1991,21720,0,total,75,5.191684449251972,10,4
1991,21720,0,total,75,5.191684449251972,10,5
1991,21720,0,total,76,6.292735134671843,11,3
1991,21720,0,total,76,6.292735134671843,11,6
1991,21720,0,total,77,5.283325524325698,8,3
1991,21720,0,total,77,5.283325524325698,8,4
1991,21720,0,total,78,4.744710965009625,8,2
1991,21720,0,total,78,4.744710965009625,8,3
1991,21720,0,total,79,4.345770234639412,8,3
1991,21720,0,total,79,4.345770234639412,8,4
1991,21720,0,total,80,3.9470974029865533,9,6
1991,21720,0,total,80,3.9470974029865533,9,3
1991,21720,0,total,81,2.4979505582445505,4,3
1991,21720,0,total,81,2.4979505582445505,4,1
1991,21720,0,total,82,3.8696837208581454,7,3
1991,21720,0,total,82,3.8696837208581454,7,2
1991,21720,0,total,83,4.869604999531258,9,6
1991,21720,0,total,83,4.869604999531258,9,2
1991,21720,0,total,84,3.982633748415168,5,5
1991,21720,0,total,85,2.369891254343337,3,1
1991,21720,0,total,85,2.369891254343337,3,2
1991,21720,0,total,86,3.12402223918643,5,2
1991,21720,0,total,86,3.12402223918643,5,3
1991,21720,0,total,87,2.4348051054517508,3,1
1991,21720,0,total,87,2.4348051054517508,3,1
1991,21720,0,total,88,4.000538793633384,5,4
1991,21720,0,total,89,2.751835408797857,4,1
1991,21720,0,total,89,2.751835408797857,4,3
1991,21720,0,total,90,1.8035313941028215,2,2
1991,21720,0,total,91,2.557094871358169,3,2
1991,21720,0,total,91,2.557094871358169,3,1
1991,21720,0,total,92,2.059889615115153,4,1
1991,21720,0,total,92,2.059889615115153,4,3
1991,21720,0,total,93,0.9844009150972499,1,1
1991,21720,0,total,97,0.9438503978523908,1,1
1991,21720,0,total,99,0.9647702425167822,1,1
1991,21720,0,total,109,0.9405686740151057,1,1
1991,21720,1,male,19,1.9447092469018115,1,1
1991,21720,1,male,20,1.7517378351539226,1,1
1991,21720,1,male,21,2.0941828254847645,1,1
1991,21720,1,male,22,2.7853511163510425,2,1
1991,21720,1,male,23,4.09219779641982,3,1
1991,21720,1,male,24,3.0794612077377037,3,1
1991,21720,1,male,26,2.287529785544083,1,1
1991,21720,1,male,27,2.16430790472903,2,2
1991,21720,1,male,30,1.784059703570936,2,2
1991,21720,1,male,31,2.1151388891598497,4,4
1991,21720,1,male,32,2.29390570409086,6,5
1991,21720,1,male,33,2.2537248989247476,7,4
1991,21720,1,male,34,3.2296683179940513,13,5
1991,21720,1,male,35,3.0409975645296856,11,9
1991,21720,1,male,36,4.021132313735143,11,5
1991,21720,1,male,37,3.9674248896167277,14,7
1991,21720,1,male,38,4.607486444133836,15,9
1991,21720,1,male,39,3.8496534721983684,15,8
1991,21720,1,male,40,4.882263149110966,11,8
1991,21720,1,male,41,3.8399260787702114,10,6
1991,21720,1,male,42,3.8552279540610286,8,5
1991,21720,1,male,43,3.258073249339475,6,4
1991,21720,1,male,44,3.6644737139981993,9,7
1991,21720,1,male,45,3.1733172961628457,6,5
1991,21720,1,male,46,2.063218544375836,8,5
1991,21720,1,male,47,1.9460558188411552,6,5
1991,21720,1,male,48,3.5430839443077233,7,5
1991,21720,1,male,49,3.3095857463145797,10,8
1991,21720,1,male,50,3.040118939742046,3,3
1991,21720,1,male,51,4.369398319095078,9,6
1991,21720,1,male,52,1.6160838288943093,4,4
1991,21720,1,male,53,3.9496152567448912,6,4
1991,21720,1,male,54,4.214267218004528,7,7
1991,21720,1,male,55,3.7242606482550613,8,6
1991,21720,1,male,56,2.239065750034119,8,6
1991,21720,1,male,57,5.27428973784893,14,10
1991,21720,1,male,58,4.330992280582722,7,6
1991,21720,1,male,59,4.209217025419687,7,7
1991,21720,1,male,60,6.324971914252517,15,12
1991,21720,1,male,61,3.763399936440567,9,6
1991,21720,1,male,62,3.4338227687878424,10,8
1991,21720,1,male,63,3.1193110047823467,9,8
1991,21720,1,male,64,5.718644340064716,13,10
1991,21720,1,male,65,4.207467290761578,7,4
1991,21720,1,male,66,3.578258453884115,10,7
1991,21720,1,male,67,3.938550752080102,8,5
1991,21720,1,male,68,4.492016699516282,9,7
1991,21720,1,male,69,3.9802577704899846,10,8
1991,21720,1,male,70,4.542415688363799,9,6
1991,21720,1,male,71,3.934635250960811,9,6
1991,21720,1,male,72,3.7011670170235096,6,6
1991,21720,1,male,73,3.981923219116106,6,6
1991,21720,1,male,74,2.9595250739100347,5,5
1991,21720,1,male,75,3.554508524743286,5,4
1991,21720,1,male,76,2.949407344161557,3,3
1991,21720,1,male,77,2.8474788056122895,3,3
1991,21720,1,male,78,3.075996237653769,3,2
1991,21720,1,male,79,2.6468156033060284,3,3
1991,21720,1,male,80,2.9980308812423515,6,6
1991,21720,1,male,81,2.122701644161358,3,3
1991,21720,1,male,82,3.724541167181616,5,3
1991,21720,1,male,83,4.430862797235764,7,6
1991,21720,1,male,84,3.63632358848338,5,5
1991,21720,1,male,85,1.0949138341185198,1,1
1991,21720,1,male,86,1.931818414320289,2,2
1991,21720,1,male,87,1.0605066574312414,1,1
1991,21720,1,male,89,1.0506502233897994,1,1
1991,21720,1,male,91,2.1930391257064725,2,2
1991,21720,1,male,92,1.0892089033483654,1,1
1991,21720,2,female,21,2.1595596741963003,1,1
1991,21720,2,female,22,3.0105293378601243,2,1
1991,21720,2,female,23,1.618213660245184,1,1
1991,21720,2,female,24,2.3342939481268012,1,1
1991,21720,2,female,25,2.315410342166195,1,1
1991,21720,2,female,26,2.1668946648426815,1,1
1991,21720,2,female,28,1.580860284080482,1,1
1991,21720,2,female,30,1.3809110132868108,1,1
1991,21720,2,female,31,2.4271384329682393,7,5
1991,21720,2,female,32,2.4495183420895428,7,6
1991,21720,2,female,33,2.4281619273851742,6,5
1991,21720,2,female,34,2.6757729781848028,10,6
1991,21720,2,female,35,3.1477707852945,14,9
1991,21720,2,female,36,2.7813714985918145,11,9
1991,21720,2,female,37,2.6485539279628063,8,6
1991,21720,2,female,38,3.697506168387876,9,5
1991,21720,2,female,39,3.0410945904822957,10,5
1991,21720,2,female,40,3.706215366851447,10,6
1991,21720,2,female,41,3.21493899437827,6,5
1991,21720,2,female,42,3.664750851435488,10,7
1991,21720,2,female,43,2.9490275725445905,7,6
1991,21720,2,female,44,3.6427325496399323,7,5
1991,21720,2,female,45,3.1815867736249617,5,4
1991,21720,2,female,46,4.325892099842641,9,8
1991,21720,2,female,47,3.1897357257579975,7,4
1991,21720,2,female,48,2.842209140458505,7,5
1991,21720,2,female,49,3.431818203086426,11,6
1991,21720,2,female,50,1.6582917799063783,3,2
1991,21720,2,female,51,4.725416242169233,10,9
1991,21720,2,female,52,2.732212526490981,5,5
1991,21720,2,female,53,4.016891077423535,8,7
1991,21720,2,female,54,2.9402209725712964,9,7
1991,21720,2,female,55,2.998506843871712,3,3
1991,21720,2,female,56,3.9948568778474094,9,7
1991,21720,2,female,57,1.4985617844020436,5,4
1991,21720,2,female,58,1.7277439169011717,7,6
