year,species_code,sex,sex_desc,iss,nss,nhls
1991,10110,0,total_pre,747.2785366001989,6551,107
1991,10110,1,male,420.22862093285556,2740,104
1991,10110,2,female,558.22526464107,3809,107
1991,10110,4,total_post,747.2787648379374,6551,107
1991,10110,12,female_male,964.877299345513,6549,107
1991,10112,0,total_pre,302.65174585917475,1228,44
1991,10112,1,male,174.6731540300236,591,41
1991,10112,2,female,172.80827429947882,637,44
1991,10112,4,total_post,302.65172592518996,1228,44
1991,10112,12,female_male,320.06337723298645,1228,44
1991,21720,0,total_pre,375.950611034909,8308,175
1991,21720,1,male,280.1658556271704,4431,175
1991,21720,2,female,271.5378206856116,3877,174
1991,21720,4,total_post,375.9505572588217,8308,175
1991,21720,12,female_male,553.3492613006968,8308,175
1991,21740,0,total_pre,481.3821976705274,14652,122
1991,21740,1,male,344.8841382732209,6914,122
1991,21740,2,female,457.06195439583,7343,120
1991,21740,4,total_post,481.3822011212135,14652,122
1991,21740,12,female_male,749.3787134332251,14257,122
1991,21921,0,total_pre,273.6292109435304,6788,54
1991,21921,1,male,202.67979669884102,3261,54
1991,21921,2,female,203.0101240648622,3527,54
1991,21921,4,total_post,273.62921383988134,6788,54
1991,21921,12,female_male,400.31127649002644,6788,54
1991,30060,0,total_pre,272.33691035697865,12569,112
1991,30060,1,male,261.556597372282,6632,108
1991,30060,2,female,185.0720566216362,5795,109
1991,30060,4,total_post,272.3369095992419,12569,112
1991,30060,12,female_male,408.7716722824394,12427,109
1991,30420,0,total_pre,101.93902383411886,4239,41
1991,30420,1,male,84.80513976594784,1831,41
1991,30420,2,female,79.38698993447089,2408,41
1991,30420,4,total_post,101.9390273069596,4239,41
1991,30420,12,female_male,147.74146739937507,4239,41
1994,10110,0,total_pre,1336.4020273738188,12605,255
1994,10110,1,male,594.9323402670249,4649,217
1994,10110,2,female,1166.8947990372749,7935,240
1994,10110,4,total_post,1336.4018958666418,12605,255
1994,10110,12,female_male,1687.7404793422716,12584,254
1994,10112,0,total_pre,266.7151040955412,3749,186
1994,10112,1,male,160.06808224187358,2111,155
1994,10112,2,female,236.15771142301932,1638,166
1994,10112,4,total_post,266.71507823447894,3749,186
1994,10112,12,female_male,255.45525928935595,3749,186
1994,21720,0,total_pre,134.71183387182145,10024,282
1994,21720,1,male,119.75210561882432,5153,259
1994,21720,2,female,119.14146416850934,4871,261
1994,21720,4,total_post,134.7118899753378,10024,282
1994,21720,12,female_male,240.6053986824028,10024,282
1994,21740,0,total_pre,249.48481130543394,16441,243
1994,21740,1,male,197.01340771139394,6575,205
1994,21740,2,female,294.53031774454985,8923,193
1994,21740,4,total_post,249.48481726064065,16441,243
1994,21740,12,female_male,489.4817469894694,15498,227
1994,21921,0,total_pre,153.80666992548396,6771,120
1994,21921,1,male,114.30703324073006,3117,96
1994,21921,2,female,122.06789921152885,3640,90
1994,21921,4,total_post,153.80667095698092,6771,120
1994,21921,12,female_male,228.03558803179686,6757,117
1994,30060,0,total_pre,397.553723725773,17696,177
1994,30060,1,male,318.97711558361755,9271,163
1994,30060,2,female,256.7838289841444,8380,162
1994,30060,4,total_post,397.55372997242137,17696,177
1994,30060,12,female_male,550.5146396662751,17651,174
1994,30420,0,total_pre,86.14407540984038,5590,107
1994,30420,1,male,80.01716618623732,2157,86
1994,30420,2,female,54.96870170848648,3431,86
1994,30420,4,total_post,86.14407060742957,5590,107
1994,30420,12,female_male,116.63603647348953,5588,107
1997,10110,0,total_pre,1038.167299104707,10943,277
1997,10110,1,male,563.5843503847922,4250,239
1997,10110,2,female,703.2248715102105,6688,254
1997,10110,4,total_post,1038.1674380252477,10943,277
1997,10110,12,female_male,1216.7361638481839,10938,277
1997,10112,0,total_pre,314.54522710902125,3201,183
1997,10112,1,male,176.83030797487933,1948,141
1997,10112,2,female,290.58704796246394,1238,159
1997,10112,4,total_post,314.5451642468164,3201,183
1997,10112,12,female_male,344.1817835472035,3186,182
1997,21720,0,total_pre,580.1520938205408,5268,267
1997,21720,1,male,469.3201836210194,2809,240
1997,21720,2,female,431.70647791652397,2457,227
1997,21720,4,total_post,580.1522399929886,5268,267
1997,21720,12,female_male,904.5603042274447,5266,267
1997,21740,0,total_pre,700.422481432027,9740,238
