year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1991,21720,0,1,32.931,2.778398619508887,24.37,5.65
1991,21720,0,2,36.617,0.9335957964296512,35.57,3.45
1991,21720,0,3,47.735,2.603810242275303,47.58,6.66
1991,21720,0,4,61.95400000000001,1.457724253759949,62.52,7.67
1991,21720,0,5,69.019,1.145323341050708,70.01,7.01
1991,21720,0,6,74.19399999999999,1.6723051289894566,77.06,7.35
1991,21720,0,7,78.862,2.4014847259328755,82.16,5
1991,21720,0,8,79.814,2.7874767562558582,81.59,7.08
1991,21720,0,9,81.737,3.8863723444878504,85.83,4.97
1991,21720,0,10,87.96666666666667,5.039784221571397,88.46,6.75
1991,21720,0,11,100.655,2.3405234457274737,109,0
1991,21720,0,12,101,6.928203230275509,NA,NA
1991,21720,1,1,32.166000000000004,1.8401280148704635,24.03,5.26
1991,21720,1,2,37.038,0.7944082353830697,35.84,3.24
1991,21720,1,3,47.169999999999995,3.8444707770453346,46.67,7.08
1991,21720,1,4,61.22600000000001,2.0265526283705415,62.19,7.47
1991,21720,1,5,67.08500000000001,0.9619222652815761,69.02,6.44
1991,21720,1,6,72.893,1.2387991497144846,76.18,7.65
1991,21720,1,7,77.84099999999998,1.5710750035140466,81.57,4.29
1991,21720,1,8,81.149,1.7472991857276303,79.95,6.68
1991,21720,1,9,81.49444444444444,2.0350866757408097,80,0
1991,21720,1,10,83.97,3.6955603995424924,84.7,2.65
1991,21720,1,11,87,NA,NA,NA
1991,21720,1,12,87,NA,NA,NA
1991,21720,2,1,34.346999999999994,1.8876148971652018,27.27,6.79
1991,21720,2,2,36.934000000000005,1.1071504966454286,35.34,3.59
1991,21720,2,3,48.116,3.1870962053603313,48.98,5.84
1991,21720,2,4,62.44100000000001,1.3389751470600357,63.18,7.79
1991,21720,2,5,69.24600000000001,2.2708843113544024,71.4,7.2
1991,21720,2,6,74.65599999999999,3.584330713908339,77.89,6.33
1991,21720,2,7,80.40299999999999,4.243986726338021,83.39,5.86
1991,21720,2,8,82.73800000000003,5.091569939070313,80.32,7.84
1991,21720,2,9,89.39111111111112,4.93620918429427,90.45,1.07
1991,21720,2,10,99.33333333333333,4.802776974487434,97.94,1
1991,21720,2,11,106,6,109,0
1991,21720,2,12,98,1.4142135623730951,NA,NA
1991,21720,4,1,33.299377773557204,1.9777994501602172,25.215554234282987,5.819845055078078
1991,21720,4,2,36.992709788000255,0.8995508487865068,35.59654446289981,3.410418875970136
1991,21720,4,3,47.66961632437314,3.2618697299741424,47.64752890996805,6.555265866510654
1991,21720,4,4,61.774584857693696,1.5960447972070348,62.68799787309906,7.630969009486564
1991,21720,4,5,68.19574326983313,1.1095620885101702,70.14321458616044,6.798673565328545
1991,21720,4,6,73.5257369004706,2.0313222191536973,76.8519485350779,7.131302885203038
1991,21720,4,7,78.48803774986578,1.1763732480981617,82.35817382793383,4.9699081922286386
1991,21720,4,8,81.29298752080112,2.4186935031980523,80.10364771012878,7.1617063344578185
1991,21720,4,9,84.95807332643004,4.8307914726336705,86.4586603868146,0.6613173793197713
1991,21720,4,10,88.55959202912175,6.675947229188024,88.17973913271803,2.2163467092911815
1991,21720,4,11,100.54886262454423,10.547535055202102,109,0
1991,21720,4,12,94.33333333333333,6.429100507328637,NA,NA
1991,21740,0,1,30,1.4142135623730951,NA,NA
1991,21740,0,2,32.063,1.0688108657132316,31.79,2.04
1991,21740,0,3,38.84400000000001,1.4069051930468601,37.24,3.37
1991,21740,0,4,45.428,0.8644433019129856,45.52,3.03
1991,21740,0,5,47.980000000000004,1.1268540278137185,47.55,3.53
1991,21740,0,6,50.241,1.7903410599969791,50.56,3.86
1991,21740,0,7,51.8,1.0259304719781623,51.69,3.69
1991,21740,0,8,52.31700000000001,0.9361154961981029,52.69,4.27
1991,21740,0,9,53.008,0.9245875957540313,53.06,3.51
1991,21740,0,10,53.38000000000001,1.0316006979447037,54.13,3.47
1991,21740,0,11,54.315,0.7861898272328658,54.6,4.01
1991,21740,0,12,53.741,0.9866041646870233,53.28,3.64
1991,21740,0,13,53.398,0.7997193952325469,53.83,3.63
1991,21740,0,14,53.67099999999999,0.8201551343766884,53.54,3.06
1991,21740,0,15,52.979000000000006,0.668903746605013,53.76,3.92
1991,21740,0,16,54.504,2.5701846021032977,55.29,3.91
1991,21740,0,17,54.2125,2.1959556982260438,53,0
1991,21740,0,18,53.30777777777777,3.2697888990643484,51.02,1.99
1991,21740,0,19,50.69833333333333,1.3700717742755917,51.82,2.48
1991,21740,0,20,49.955,1.4778531726798867,49.69,1.49
1991,21740,0,21,48,NA,50,0
1991,21740,1,1,29.5,0.7071067811865476,NA,NA
1991,21740,1,2,32.48888888888889,1.234498323656664,31.16,1.78
1991,21740,1,3,40.291,1.638796645238342,37.31,4.24
1991,21740,1,4,45.35,0.7504813270310084,45.16,2.88
1991,21740,1,5,46.991,0.6244010463369416,46.96,3.06
1991,21740,1,6,48.086999999999996,1.247139393438707,48,3.4
1991,21740,1,7,50.315000000000005,1.1562511261255777,49.88,2.89
