year,species_code,sex,sex_desc,iss,nss,nhl
1982,10110,0,total_pre,49.07373425804448,237,9
1982,10110,1,male,23.863457718742975,105,9
1982,10110,2,female,30.7917747174521,132,9
1982,10110,4,total_post,42.654025299828895,237,9
1982,10110,12,female_male,56.91725507189318,237,9
1982,10115,0,total_pre,30.00777848300048,292,11
1982,10115,1,male,15.597490962383706,141,11
1982,10115,2,female,19.4362093093625,151,11
1982,10115,4,total_post,23.53912801775904,292,11
1982,10115,12,female_male,36.788524536341455,292,11
1982,10130,0,total_pre,126.7379022859394,390,15
1982,10130,1,male,58.976775043811834,181,15
1982,10130,2,female,57.78967910871459,207,14
1982,10130,4,total_post,109.96701333095085,390,15
1982,10130,12,female_male,122.8447857278937,388,15
1982,10210,0,total_pre,168.02863647659166,744,35
1982,10210,1,male,75.62176904632375,317,31
1982,10210,2,female,118.5804037936617,419,33
1982,10210,4,total_post,156.68104765365607,744,35
1982,10210,12,female_male,196.45627873546835,736,34
1982,10285,0,total_pre,75.11982870484056,298,27
1982,10285,1,male,25.00353482106797,102,13
1982,10285,2,female,50.980837497296434,196,27
1982,10285,4,total_post,62.89825779311161,298,27
1982,10285,12,female_male,66.29573596173792,298,27
1982,21740,0,total_pre,153.18089954114913,1500,81
1982,21740,1,male,90.89341002021936,654,65
1982,21740,2,female,114.61022375261498,742,71
1982,21740,4,total_post,148.36555211127802,1500,81
1982,21740,12,female_male,229.4459843441381,1396,76
1983,10210,0,total_pre,145.1213615523013,709,37
1983,10210,1,male,67.82928936931874,303,28
1983,10210,2,female,89.28162852886732,406,35
1983,10210,4,total_post,127.2700965825847,709,37
1983,10210,12,female_male,164.16031627930448,709,37
1983,21740,0,total_pre,133.04192021286357,1931,95
1983,21740,1,male,65.6635319357368,931,88
1983,21740,2,female,90.18895041861379,990,85
1983,21740,4,total_post,129.18349028367516,1931,95
1983,21740,12,female_male,169.9764654438909,1921,94
1984,10210,0,total_pre,171.74695518950418,796,56
1984,10210,1,male,72.46310449246151,329,42
1984,10210,2,female,109.38509195641926,467,49
1984,10210,4,total_post,156.97864277895465,796,56
1984,10210,12,female_male,189.59372502988717,796,56
1984,21720,0,total_pre,46.12612236776711,316,18
1984,21720,1,male,40.4601010402324,187,18
1984,21720,2,female,23.42238358962749,129,18
1984,21720,4,total_post,44.76001718751104,316,18
1984,21720,12,female_male,66.49050012949418,316,18
1984,21740,0,total_pre,64.75711450150187,1806,116
1984,21740,1,male,53.205525290598416,826,100
1984,21740,2,female,43.31342306445326,943,110
1984,21740,4,total_post,60.557817943175216,1806,116
1984,21740,12,female_male,107.55586292398985,1769,115
1985,10130,0,total_pre,134.0507326975235,496,23
1985,10130,1,male,68.43822788259853,227,20
1985,10130,2,female,68.86350598191873,268,23
1985,10130,4,total_post,120.17672809345655,496,23
1985,10130,12,female_male,144.27491086235688,495,23
1985,10210,0,total_pre,184.7590744365432,802,43
1985,10210,1,male,88.13258499460385,338,36
1985,10210,2,female,110.56279364663133,464,35
1985,10210,4,total_post,166.93850313842535,802,43
1985,10210,12,female_male,206.23286222628337,802,43
1985,21740,0,total_pre,71.46430485366746,1890,81
1985,21740,1,male,119.03573788978437,852,72
