year,species_code,sex,sex_desc,iss,nss,nhls
1982,10110,0,total_pre,562.3137878140492,2841,44
1982,10110,1,male,298.24843876447085,1237,44
1982,10110,2,female,390.6730132465543,1578,44
1982,10110,4,total_post,562.3137530832322,2841,44
1982,10110,12,female_male,679.1546159380313,2815,44
1982,10115,0,total_pre,150.44734837895743,1228,41
1982,10115,1,male,64.37940257682031,520,33
1982,10115,2,female,116.88316507140344,695,36
1982,10115,4,total_post,150.4473547130684,1228,41
1982,10115,12,female_male,164.04030713578283,1215,40
1982,10130,0,total_pre,1498.7520811448271,11088,109
1982,10130,1,male,914.3850263365814,5097,109
1982,10130,2,female,1055.4785967271741,4998,109
1982,10130,4,total_post,1498.7520673348292,11088,109
1982,10130,12,female_male,1904.2444512422064,10095,109
1982,10210,0,total_pre,2574.0458518199675,37023,246
1982,10210,1,male,1437.8742341311172,13838,218
1982,10210,2,female,2134.266572710491,23178,246
1982,10210,4,total_post,2574.045852703728,37023,246
1982,10210,12,female_male,3108.3641051652467,37016,246
1982,10285,0,total_pre,2367.4757932626926,14274,152
1982,10285,1,male,1391.224492417398,7452,148
1982,10285,2,female,1436.126918766856,6822,152
1982,10285,4,total_post,2367.4758050633523,14274,152
1982,10285,12,female_male,2278.8249783631586,14274,152
1982,21720,0,total_pre,2309.592917947681,10863,313
1982,21720,1,male,1330.186992492209,5288,300
1982,21720,2,female,1350.8031744346924,5434,307
1982,21720,4,total_post,2309.5928990793727,10863,313
1982,21720,12,female_male,2689.3683915329416,10722,310
1982,21740,0,total_pre,1110.755757949034,42182,308
1982,21740,1,male,839.3688612020653,16896,276
1982,21740,2,female,909.3260656435651,17356,275
1982,21740,4,total_post,1110.7557571538075,42182,308
1982,21740,12,female_male,1755.4106637663263,34252,289
1983,10110,0,total_pre,1033.4977704319285,6149,84
1983,10110,1,male,542.2625922838934,2380,84
1983,10110,2,female,794.677800283595,3767,83
1983,10110,4,total_post,1033.4977573282733,6149,84
1983,10110,12,female_male,1317.851507347704,6147,84
1983,10112,0,total_pre,208.95869451897204,692,13
1983,10112,1,male,116.98570398105446,324,13
1983,10112,2,female,132.39884930741806,368,13
1983,10112,4,total_post,208.95871818647706,692,13
1983,10112,12,female_male,249.2281379770713,692,13
1983,10115,0,total_pre,378.2781364128338,951,55
1983,10115,1,male,185.38874606862916,409,47
1983,10115,2,female,205.63740832927311,455,47
1983,10115,4,total_post,378.27815075811714,951,55
1983,10115,12,female_male,387.86219993086047,864,55
1983,10130,0,total_pre,1692.3776572658178,15727,170
1983,10130,1,male,1168.308280136256,7671,170
1983,10130,2,female,1158.524874399533,7480,170
1983,10130,4,total_post,1692.3776539104215,15727,170
1983,10130,12,female_male,2274.1109039418434,15151,170
1983,10210,0,total_pre,4351.355954605815,33924,256
1983,10210,1,male,2252.122828653161,12151,232
1983,10210,2,female,3291.806975708018,21616,255
1983,10210,4,total_post,4351.355952139669,33924,256
1983,10210,12,female_male,4089.0052842922246,33767,255
1983,10285,0,total_pre,1870.5740267050012,11624,118
1983,10285,1,male,1098.8389365986204,5697,115
1983,10285,2,female,1060.2427870406998,5927,118
1983,10285,4,total_post,1870.5740311344384,11624,118
1983,10285,12,female_male,1638.2591134699376,11624,118
1983,21720,0,total_pre,1184.2614837942294,13143,255
1983,21720,1,male,1191.7635894810433,5124,249
1983,21720,2,female,1141.0303039236703,4856,252
1983,21720,4,total_post,1184.2614720141576,13143,255
1983,21720,12,female_male,2328.2399203831355,9980,254
1983,21740,0,total_pre,1386.449201954531,165834,328
1983,21740,1,male,1374.3920944771014,33406,316
1983,21740,2,female,1714.6375092527114,34195,315
1983,21740,4,total_post,1386.4492019423744,165834,328
1983,21740,12,female_male,3001.597801158843,67601,320
1984,10110,0,total_pre,1047.676602725596,6050,88
1984,10110,1,male,483.18060323275364,2167,87
1984,10110,2,female,734.0842854991034,3882,88
1984,10110,4,total_post,1047.6766018238775,6050,88
1984,10110,12,female_male,1191.2197633453852,6049,88
1984,10112,0,total_pre,187.66370459483025,741,27
1984,10112,1,male,89.5903680960176,342,26
1984,10112,2,female,106.34438709626943,399,27
1984,10112,4,total_post,187.6637120720396,741,27
1984,10112,12,female_male,194.69302573674366,741,27
1984,10115,0,total_pre,225.35201314960787,536,27
1984,10115,1,male,111.80890681267952,257,27
1984,10115,2,female,122.53452135130586,279,27
1984,10115,4,total_post,225.3520052982191,536,27
1984,10115,12,female_male,235.82417021200973,536,27
1984,10130,0,total_pre,1622.3044074994782,14043,152
1984,10130,1,male,1060.9676809982632,6639,150
1984,10130,2,female,1065.453102156677,6792,151
1984,10130,4,total_post,1622.3044132622958,14043,152
1984,10130,12,female_male,2121.690644740314,13431,151
1984,10210,0,total_pre,3865.175808320009,33894,271
1984,10210,1,male,1842.1365507460362,11340,245
1984,10210,2,female,3192.546280065897,22553,268
1984,10210,4,total_post,3865.1758055922674,33894,271
1984,10210,12,female_male,4270.5100048688055,33893,270
1984,10285,0,total_pre,1502.7497363709422,14026,151
1984,10285,1,male,1109.1854302741147,6906,146
1984,10285,2,female,781.0031018586135,7120,151
1984,10285,4,total_post,1502.749730632707,14026,151
1984,10285,12,female_male,1638.7903005489195,14026,151
1984,21720,0,total_pre,2394.2426801605193,12133,264
1984,21720,1,male,1541.128303611484,6090,259
1984,21720,2,female,1471.0502778967166,5946,259
1984,21720,4,total_post,2394.242764845291,12133,264
1984,21720,12,female_male,3015.4730593327745,12036,263
1984,21740,0,total_pre,1930.5565484930646,51847,330
1984,21740,1,male,1303.6595971561096,21241,299
1984,21740,2,female,1524.0912544786436,23002,299
1984,21740,4,total_post,1930.556550406326,51847,330
1984,21740,12,female_male,2777.131753488729,44243,312
1985,10110,0,total_pre,1497.1112251517438,5550,104
1985,10110,1,male,638.4927577621844,2103,99
1985,10110,2,female,1009.8315948770753,3445,102
1985,10110,4,total_post,1497.1112674352612,5550,104
1985,10110,12,female_male,1643.179546033986,5548,104
1985,10115,0,total_pre,80.63774452176118,200,46
1985,10115,1,male,38.296389862524606,72,28
1985,10115,2,female,48.62656535354321,100,31
1985,10115,4,total_post,80.63773833898269,200,46
1985,10115,12,female_male,86.41525163774709,172,38
1985,10130,0,total_pre,2077.8827801809894,13706,192
1985,10130,1,male,1278.793301420369,6827,187
1985,10130,2,female,1481.8125318250688,6877,188
1985,10130,4,total_post,2077.882780315335,13706,192
1985,10130,12,female_male,2712.4253195731285,13704,192
1985,10210,0,total_pre,1516.4414044939488,33824,261
1985,10210,1,male,950.390483734226,11196,218
1985,10210,2,female,1493.7837295067475,22628,259
1985,10210,4,total_post,1516.4414049434192,33824,261
1985,10210,12,female_male,2240.256206842646,33824,261
1985,10285,0,total_pre,1936.7996247912804,10914,168
1985,10285,1,male,1216.4343380829898,5171,142
1985,10285,2,female,1244.7916522887529,5742,168
1985,10285,4,total_post,1936.7996364102187,10914,168
1985,10285,12,female_male,1805.8197225670312,10913,168
1985,21720,0,total_pre,884.0720871488994,16921,345
1985,21720,1,male,689.6099009680219,7522,329
1985,21720,2,female,756.6216227709996,7177,325
1985,21720,4,total_post,884.0720858674914,16921,345
1985,21720,12,female_male,1443.1098859724627,14699,331
1985,21740,0,total_pre,286.1660877805345,209638,346
1985,21740,1,male,1537.4227003791461,40059,306
1985,21740,2,female,1923.5328706901255,46746,316
1985,21740,4,total_post,286.1660876072841,209638,346
