year,species_code,sex,sex_desc,iss,nss,nhl
2002,10110,0,total_pre,83.56641949679295,483,56
2002,10110,1,male,30.190500662192857,123,38
2002,10110,2,female,72.83303185584606,360,51
2002,10110,4,total_post,87.42545058523089,483,56
2002,10110,12,female_male,98.30769329702285,483,56
2002,10112,0,total_pre,127.94861214458803,607,91
2002,10112,1,male,58.09783823531205,260,62
2002,10112,2,female,77.37773606077845,347,86
2002,10112,4,total_post,117.08563795148531,607,91
2002,10112,12,female_male,126.47443115815798,607,91
2002,10115,0,total_pre,95.51372475686249,448,90
2002,10115,1,male,66.40270091358674,229,63
2002,10115,2,female,56.00737663066181,219,75
2002,10115,4,total_post,95.72953021145278,448,90
2002,10115,12,female_male,117.84906946550032,448,90
2002,30060,0,total_pre,80.0837314681894,299,27
2002,30060,1,male,36.828087915650535,134,24
2002,30060,2,female,36.6821043291043,164,26
2002,30060,4,total_post,71.18733013381907,299,27
2002,30060,12,female_male,73.60807839477081,298,27
2004,10115,0,total_pre,73.51972017165969,472,112
2004,10115,1,male,34.62474304507267,229,67
2004,10115,2,female,49.57187398926484,243,92
2004,10115,4,total_post,65.68210204702083,472,112
2004,10115,12,female_male,76.9948632861684,472,112
2004,30060,0,total_pre,77.56372022158072,425,34
2004,30060,1,male,25.277911882744426,202,28
2004,30060,2,female,37.999469872783635,220,32
2004,30060,4,total_post,48.08866541102425,425,34
2004,30060,12,female_male,57.390507396703214,422,34
2008,10115,0,total_pre,84.08268103577866,456,101
2008,10115,1,male,61.76519807907424,235,71
2008,10115,2,female,39.36997594911756,221,74
2008,10115,4,total_post,87.55420920421172,456,101
2008,10115,12,female_male,97.8510629359798,456,101
2008,30060,0,total_pre,61.5703758854327,413,40
2008,30060,1,male,39.10554211243158,195,38
2008,30060,2,female,38.31124379505899,209,36
2008,30060,4,total_post,61.68434917897135,413,40
2008,30060,12,female_male,75.49765376225642,404,40
2010,10110,0,total_pre,120.7579177584619,767,85
2010,10110,1,male,33.73132630507928,181,55
2010,10110,2,female,90.2729537182601,586,79
2010,10110,4,total_post,108.16263823429642,767,85
2010,10110,12,female_male,131.03183025198715,767,85
2010,10115,0,total_pre,79.36596230033038,492,99
2010,10115,1,male,46.19470535994122,270,78
2010,10115,2,female,47.721221030510655,222,73
2010,10115,4,total_post,70.85226821333238,492,99
2010,10115,12,female_male,86.62283551861736,492,99
2010,30060,0,total_pre,111.48147069100739,415,44
2010,30060,1,male,49.24605875955007,195,37
2010,30060,2,female,58.328060184017254,218,38
2010,30060,4,total_post,106.40731374234274,415,44
2010,30060,12,female_male,106.20012535290512,413,43
2012,10110,0,total_pre,72.95614522871367,473,46
2012,10110,1,male,28.747838980077173,130,38
2012,10110,2,female,58.065358640194034,343,39
2012,10110,4,total_post,74.34146928831586,473,46
2012,10110,12,female_male,80.73254054278019,473,46
2012,10112,0,total_pre,70.55600716039181,682,71
2012,10112,1,male,38.7184452399377,312,59
2012,10112,2,female,43.291529733880026,370,69
2012,10112,4,total_post,52.203505717750005,682,71
2012,10112,12,female_male,75.78447122890915,682,71
2012,10115,0,total_pre,56.42190793477583,450,75
2012,10115,1,male,50.88126248679623,239,54
2012,10115,2,female,27.94913376292087,211,58
2012,10115,4,total_post,56.29047005166611,450,75
2012,10115,12,female_male,75.21773956156702,450,75
2012,30060,0,total_pre,120.85392489160186,472,33
2012,30060,1,male,56.64733529419654,228,30
2012,30060,2,female,64.17915882717728,238,31
2012,30060,4,total_post,109.78881380065845,472,33
2012,30060,12,female_male,122.4503467832659,466,32
2016,10110,0,total_pre,90.10720461749322,434,83
2016,10110,1,male,55.6756564300228,158,56
2016,10110,2,female,52.21122674999197,276,82
2016,10110,4,total_post,66.63137191519401,434,83
2016,10110,12,female_male,69.37418450102285,434,83
2016,10112,0,total_pre,163.9972286853994,694,112
2016,10112,1,male,73.19278925350872,315,88
2016,10112,2,female,77.36852525986538,379,100
2016,10112,4,total_post,108.58327967816201,694,112
2016,10112,12,female_male,146.3483929442241,694,112
2016,10115,0,total_pre,81.52295611394668,620,102
2016,10115,1,male,46.71963069102666,305,69
2016,10115,2,female,50.49742247201161,315,75
2016,10115,4,total_post,68.84102308280004,620,102
2016,10115,12,female_male,89.2478349750732,620,102
2016,30060,0,total_pre,62.27067885469769,391,39
2016,30060,1,male,30.814438533664383,193,37
2016,30060,2,female,24.83779789122391,188,38
2016,30060,4,total_post,49.02709893821514,391,39
2016,30060,12,female_male,56.569495700402584,381,39
