year,species_code,sex,sex_desc,length,iss,nss,nhl
2002,10110,0,total,22,1.561331508593437,1,1
2002,10110,0,total,23,1.6912165427789863,2,1
2002,10110,0,total,23,1.6912165427789863,2,1
2002,10110,0,total,24,1.4660554045854028,1,1
2002,10110,0,total,25,1.5457761633613203,2,2
2002,10110,0,total,26,3.856942880423549,2,1
2002,10110,0,total,26,3.856942880423549,2,1
2002,10110,0,total,27,2.4705831980482604,4,2
2002,10110,0,total,27,2.4705831980482604,4,2
2002,10110,0,total,28,1.6480116070299795,1,1
2002,10110,0,total,29,3.0447153396525004,3,1
2002,10110,0,total,29,3.0447153396525004,3,2
2002,10110,0,total,30,3.2651919746535065,4,1
2002,10110,0,total,30,3.2651919746535065,4,2
2002,10110,0,total,31,2.421348902984817,4,2
2002,10110,0,total,31,2.421348902984817,4,2
2002,10110,0,total,32,3.2329255182359864,5,2
2002,10110,0,total,32,3.2329255182359864,5,2
2002,10110,0,total,33,1.715525643958819,5,2
2002,10110,0,total,33,1.715525643958819,5,3
2002,10110,0,total,34,4.0826607957534975,8,3
2002,10110,0,total,34,4.0826607957534975,8,4
2002,10110,0,total,35,3.5470705731803216,5,3
2002,10110,0,total,35,3.5470705731803216,5,2
2002,10110,0,total,36,4.577456838365715,10,4
2002,10110,0,total,36,4.577456838365715,10,5
2002,10110,0,total,37,4.683388704746564,11,4
2002,10110,0,total,37,4.683388704746564,11,6
2002,10110,0,total,38,5.915817392074393,14,7
2002,10110,0,total,38,5.915817392074393,14,6
2002,10110,0,total,39,5.585922494234181,11,5
2002,10110,0,total,39,5.585922494234181,11,5
2002,10110,0,total,40,6.436869095360507,14,7
2002,10110,0,total,40,6.436869095360507,14,7
2002,10110,0,total,41,7.447746235236269,17,6
2002,10110,0,total,41,7.447746235236269,17,8
2002,10110,0,total,42,4.875048617772026,10,4
2002,10110,0,total,42,4.875048617772026,10,5
2002,10110,0,total,43,5.8422908437022,12,5
2002,10110,0,total,43,5.8422908437022,12,6
