region,year,species_code,sex,age,agepop,mean_length,sd_length
wcgoa,1990,10110,1,2,40565994,23.96,2.68
wcgoa,1990,10110,1,3,59913422,28.65,2.89
wcgoa,1990,10110,1,4,86350368,33.69,2.89
wcgoa,1990,10110,1,5,95471901,37.27,2.98
wcgoa,1990,10110,1,6,82708085,39.38,2.72
wcgoa,1990,10110,1,7,83382279,41.68,2.29
wcgoa,1990,10110,1,8,12312579,43.54,3.5
wcgoa,1990,10110,1,9,40792122,44.45,1.27
wcgoa,1990,10110,1,10,23514488,45.34,2.5
wcgoa,1990,10110,1,11,21958308,46.19,1.68
wcgoa,1990,10110,1,14,1262108,51,0
wcgoa,1990,10110,2,2,50566785,22.72,2.09
wcgoa,1990,10110,2,3,102936054,27.95,2.8
wcgoa,1990,10110,2,4,126804938,33.35,3.55
wcgoa,1990,10110,2,5,230247685,38.28,5.11
wcgoa,1990,10110,2,6,227778859,43.36,4.57
wcgoa,1990,10110,2,7,132673553,45.33,4.88
wcgoa,1990,10110,2,8,146632302,48.92,3.49
wcgoa,1990,10110,2,9,85964058,51.52,5.86
wcgoa,1990,10110,2,10,46179409,55.79,3.8
wcgoa,1990,10110,2,11,73356623,58.45,4.85
wcgoa,1990,10110,2,12,46033734,58.4,8.25
wcgoa,1990,10110,2,13,24293417,58.8,5.41
wcgoa,1990,10110,2,14,15533766,63.76,3.41
wcgoa,1990,10110,2,15,16149893,56.26,3.76
wcgoa,1990,10110,2,16,12785231,60.93,4
wcgoa,1990,10110,2,17,20424692,74.7,2.61
wcgoa,1990,10110,2,18,12696968,73.4,0.77
wcgoa,1990,10110,2,19,4297040,63,0
wcgoa,1990,10110,2,21,3405486,70,0
wcgoa,1990,10110,3,2,1811403,21.17,1.64
wcgoa,1990,10110,3,3,391689,22.26,1.73
wcgoa,1990,10110,3,4,4290,26.64,0.48
wcgoa,1990,10110,3,5,27581,24,0
wcgoa,1990,10130,1,2,439338,14,0
wcgoa,1990,10130,1,3,7069482,17.25,3.6
wcgoa,1990,10130,1,4,10329625,20.57,2.56
wcgoa,1990,10130,1,5,26916371,24.87,3.67
wcgoa,1990,10130,1,6,30576578,27.11,2.89
wcgoa,1990,10130,1,7,26521144,29.1,2.59
wcgoa,1990,10130,1,8,34449214,29.44,1.52
wcgoa,1990,10130,1,9,35977685,31.34,1.95
wcgoa,1990,10130,1,10,33089943,30.41,2.72
wcgoa,1990,10130,1,11,12939920,33.27,2.51
wcgoa,1990,10130,1,12,11219480,33.85,0.96
wcgoa,1990,10130,1,13,24786909,33.33,1.77
wcgoa,1990,10130,1,14,23526754,33.85,1.43
wcgoa,1990,10130,1,15,16006714,32.55,1.82
wcgoa,1990,10130,1,16,3866117,35.88,1.24
wcgoa,1990,10130,1,18,2437120,35,0
wcgoa,1990,10130,1,22,278985,42,0
wcgoa,1990,10130,2,2,1054084,12.69,0.75
wcgoa,1990,10130,2,3,5070599,17.3,1.31
wcgoa,1990,10130,2,4,4600968,21.35,1.97
wcgoa,1990,10130,2,5,19771598,24.73,2.96
wcgoa,1990,10130,2,6,35823503,27.34,2.43
wcgoa,1990,10130,2,7,21265922,30.55,2.3
wcgoa,1990,10130,2,8,38095081,31.85,2.03
wcgoa,1990,10130,2,9,39776238,33.86,3.07
wcgoa,1990,10130,2,10,11366815,31.05,0.84
wcgoa,1990,10130,2,11,27403854,35.37,2.44
wcgoa,1990,10130,2,12,29229350,36.37,2.61
wcgoa,1990,10130,2,13,36516400,38.75,1.8
wcgoa,1990,10130,2,14,42044632,37.76,2.85
wcgoa,1990,10130,2,15,14272979,38.27,2.74
wcgoa,1990,10130,2,16,15392429,39.51,1.72
wcgoa,1990,10130,2,17,2804638,41.4,1.49
wcgoa,1990,10130,2,18,7328017,40.29,2.24
wcgoa,1990,10130,2,22,252382,48,0
wcgoa,1990,10130,2,23,1276042,42,0
wcgoa,1990,10130,3,2,376449,12.54,0.65
wcgoa,1990,10130,3,3,362412,11.6,1.08
wcgoa,1990,10130,3,4,7205,22.14,1.22
wcgoa,1990,10130,3,5,45111,26.05,2.87
wcgoa,1990,10130,3,6,96073,26.93,2.11
wcgoa,1990,10130,3,7,55181,29.56,2.13
wcgoa,1990,10130,3,8,55498,29.98,2
wcgoa,1990,10130,3,9,52350,30.63,2.47
wcgoa,1990,10130,3,10,34119,30.66,2.31
wcgoa,1990,10130,3,11,23820,35.04,2.68
wcgoa,1990,10130,3,12,15502,34.88,2.17
wcgoa,1990,10130,3,13,28386,37.05,3.23
wcgoa,1990,10130,3,14,37137,37.89,4.1
wcgoa,1990,10130,3,15,24927,38.4,4.4
wcgoa,1990,10130,3,16,11584,38.68,2.63
wcgoa,1990,10130,3,17,2236,41,0
wcgoa,1990,10130,3,18,4259,36.2,1.83
wcgoa,1990,10130,3,22,2981,42,0
wcgoa,1990,10130,3,23,2981,42,0
wcgoa,1990,10180,1,4,466120,32.62,2.94
wcgoa,1990,10180,1,5,1431285,36.57,1.18
wcgoa,1990,10180,1,6,3431089,37.66,2.84
wcgoa,1990,10180,1,7,2055648,38.15,3.15
wcgoa,1990,10180,1,8,2556690,37.85,3.97
wcgoa,1990,10180,1,9,2314181,38.81,3.64
wcgoa,1990,10180,1,10,2449230,39.74,2.02
wcgoa,1990,10180,1,11,565676,40,0
wcgoa,1990,10180,1,12,1987727,43.32,1.79
wcgoa,1990,10180,1,13,3055705,44.43,2.71
wcgoa,1990,10180,1,14,275039,35,0
wcgoa,1990,10180,1,16,614895,44,0
wcgoa,1990,10180,1,17,565676,40,0
wcgoa,1990,10180,1,18,1180571,42.08,2
wcgoa,1990,10180,1,19,491787,45,0
wcgoa,1990,10180,1,21,1182777,39.71,2.19
wcgoa,1990,10180,1,22,1993628,39.88,0.99
wcgoa,1990,10180,1,24,1112297,39.02,1
wcgoa,1990,10180,1,25,2505257,41.97,0.82
wcgoa,1990,10180,1,26,546621,38,0
wcgoa,1990,10180,1,27,557832,39,0
wcgoa,1990,10180,1,28,983142,44.26,5.87
wcgoa,1990,10180,1,30,1359913,40.39,1.96
wcgoa,1990,10180,1,31,1118105,40.36,2.67
wcgoa,1990,10180,1,34,1760322,40.41,2.51
wcgoa,1990,10180,2,4,571685,31.69,1.26
wcgoa,1990,10180,2,5,394632,35.28,1.55
wcgoa,1990,10180,2,6,2124746,39.09,1.75
wcgoa,1990,10180,2,7,2768857,42.19,4.25
wcgoa,1990,10180,2,8,899181,44.23,6.32
wcgoa,1990,10180,2,9,882127,45,2
wcgoa,1990,10180,2,10,1814122,46.3,4.81
wcgoa,1990,10180,2,11,1473841,43.94,4.91
wcgoa,1990,10180,2,12,3893435,45,2.75
wcgoa,1990,10180,2,13,3854026,45.57,2.15
wcgoa,1990,10180,2,14,276845,53.53,1.94
wcgoa,1990,10180,2,15,1288047,47.7,4.3
wcgoa,1990,10180,2,16,276845,53.53,1.94
wcgoa,1990,10180,2,17,442093,47,0
wcgoa,1990,10180,2,19,1026388,46.92,5.92
wcgoa,1990,10180,2,20,460821,40.06,1.39
wcgoa,1990,10180,2,21,632729,49,0
wcgoa,1990,10180,2,22,964882,50.49,2.35
wcgoa,1990,10180,2,23,991296,49.36,0.48
wcgoa,1990,10180,2,24,2466367,46.35,3.76
wcgoa,1990,10180,2,25,1562047,47.14,3.41
wcgoa,1990,10180,2,26,2546483,48.04,5.33
wcgoa,1990,10180,2,28,2186939,45.27,4.16
wcgoa,1990,10180,2,29,442093,47,0
wcgoa,1990,10180,2,30,1076217,44.66,4.43
wcgoa,1990,10180,2,31,1319549,43.62,1.5
wcgoa,1990,10180,2,32,2835481,45.71,3.91
wcgoa,1990,10180,2,33,2452120,48,4.48
wcgoa,1990,10180,2,34,463224,51,0
wcgoa,1990,10180,2,37,105595,56,0
wcgoa,1990,10180,2,40,344098,53,0
wcgoa,1990,10200,1,3,5602518,25.19,3.53
wcgoa,1990,10200,1,4,13977585,32.53,3.32
wcgoa,1990,10200,1,5,38640740,35.77,2.8
wcgoa,1990,10200,1,6,23428854,38.11,2.88
wcgoa,1990,10200,1,7,8085021,41.39,2.67
wcgoa,1990,10200,1,8,685707,40.36,1.77
wcgoa,1990,10200,2,3,4543214,26.34,3.19
wcgoa,1990,10200,2,4,4911296,32.5,4.31
wcgoa,1990,10200,2,5,30239093,38.68,4.42
wcgoa,1990,10200,2,6,26072956,41.21,3.36
wcgoa,1990,10200,2,7,21391691,43.71,3.46
wcgoa,1990,10200,2,8,9617660,43.73,3.88
wcgoa,1990,10200,2,9,1065347,46.72,0.96
wcgoa,1990,10200,2,10,205036,53.67,0.95
wcgoa,1990,10200,2,11,286320,51,0
wcgoa,1990,21720,1,1,2417557,22.72,1.8
wcgoa,1990,21720,1,2,5949760,35.15,2.78
wcgoa,1990,21720,1,3,24703737,46.15,3.57
