year,species_code,length,sex,abund
1990,21740,4,0,16424
1990,21740,4,3,16424
1990,21740,5,0,801291
1990,21740,5,3,801291
1990,21740,6,0,7844160
1990,21740,6,3,7844160
1990,21740,7,0,33261536
1990,21740,7,3,33261536
1990,21740,8,0,70939628
1990,21740,8,3,70939628
1990,21740,9,0,34457074
1990,21740,9,1,9207
1990,21740,9,2,37647
1990,21740,9,3,34410220
1990,21740,10,0,3307387
1990,21740,10,3,3307387
1990,21740,11,0,85981
1990,21740,11,3,85981
1990,21740,12,0,504852
1990,21740,12,1,30894
1990,21740,12,2,40578
1990,21740,12,3,433380
1990,21740,13,0,1606061
1990,21740,13,1,33691
1990,21740,13,2,116793
1990,21740,13,3,1455576
1990,21740,14,0,5920396
1990,21740,14,1,311255
1990,21740,14,2,253786
1990,21740,14,3,5355355
1990,21740,15,0,11870057
1990,21740,15,1,486142
1990,21740,15,2,431246
1990,21740,15,3,10952668
1990,21740,16,0,8342370
1990,21740,16,1,1444662
1990,21740,16,2,1151767
1990,21740,16,3,5745943
1990,21740,17,0,10482767
1990,21740,17,1,2742702
1990,21740,17,2,2697313
1990,21740,17,3,5042753
1990,21740,18,0,11575604
1990,21740,18,1,4583990
1990,21740,18,2,4024624
1990,21740,18,3,2966987
1990,21740,19,0,11624345
1990,21740,19,1,5201846
1990,21740,19,2,4715162
1990,21740,19,3,1707334
1990,21740,20,0,8764590
1990,21740,20,1,4645894
1990,21740,20,2,3564987
1990,21740,20,3,553710
1990,21740,21,0,7159261
1990,21740,21,1,3563706
1990,21740,21,2,3469783
1990,21740,21,3,125768
1990,21740,22,0,6002710
1990,21740,22,1,3499069
1990,21740,22,2,2481654
1990,21740,22,3,21986
1990,21740,23,0,10050408
1990,21740,23,1,5907051
1990,21740,23,2,4067614
1990,21740,23,3,75743
1990,21740,24,0,18046434
1990,21740,24,1,9411453
1990,21740,24,2,8394834
1990,21740,24,3,240148
1990,21740,25,0,32024961
1990,21740,25,1,17034202
1990,21740,25,2,14334137
1990,21740,25,3,656625
1990,21740,26,0,53270820
1990,21740,26,1,25208820
1990,21740,26,2,27478124
1990,21740,26,3,583877
1990,21740,27,0,45567410
1990,21740,27,1,23584760
1990,21740,27,2,21400074
1990,21740,27,3,582576
1990,21740,28,0,32023368
1990,21740,28,1,12666647
1990,21740,28,2,19103775
1990,21740,28,3,252944
1990,21740,29,0,29470023
1990,21740,29,1,14763479
1990,21740,29,2,14495213
1990,21740,29,3,211329
1990,21740,30,0,17708480
1990,21740,30,1,6727409
1990,21740,30,2,10928121
1990,21740,30,3,52954
1990,21740,31,0,15154950
1990,21740,31,1,7082987
1990,21740,31,2,8071965
1990,21740,32,0,11528461
1990,21740,32,1,5447701
1990,21740,32,2,6080756
1990,21740,33,0,9955075
1990,21740,33,1,6279392
1990,21740,33,2,3675682
1990,21740,34,0,5950269
1990,21740,34,1,3531106
1990,21740,34,2,2419162
1990,21740,35,0,5333485
1990,21740,35,1,2470558
1990,21740,35,2,2852725
1990,21740,35,3,10202
1990,21740,36,0,5742634
1990,21740,36,1,2857539
1990,21740,36,2,2874893
1990,21740,36,3,10202
1990,21740,37,0,6643755
1990,21740,37,1,3545882
1990,21740,37,2,3050485
1990,21740,37,3,47387
1990,21740,38,0,7627071
1990,21740,38,1,4897690
1990,21740,38,2,2719175
1990,21740,38,3,10202
1990,21740,39,0,10753854
1990,21740,39,1,6531475
1990,21740,39,2,4222375
1990,21740,40,0,15342163
1990,21740,40,1,9640772
1990,21740,40,2,5701394
1990,21740,41,0,14960872
1990,21740,41,1,9842537
1990,21740,41,2,5118335
1990,21740,42,0,18510893
1990,21740,42,1,11567957
1990,21740,42,2,6864942
1990,21740,42,3,77994
1990,21740,43,0,23981923
1990,21740,43,1,15216018
1990,21740,43,2,8471379
1990,21740,43,3,294525
1990,21740,44,0,26680557
1990,21740,44,1,16413139
1990,21740,44,2,9947331
1990,21740,44,3,320091
1990,21740,45,0,36502583
1990,21740,45,1,20273255
1990,21740,45,2,15597811
1990,21740,45,3,631516
1990,21740,46,0,40024285
1990,21740,46,1,20213249
1990,21740,46,2,19009679
1990,21740,46,3,801356
1990,21740,47,0,47294764
1990,21740,47,1,21660186
1990,21740,47,2,24232434
1990,21740,47,3,1402145
1990,21740,48,0,55361604
1990,21740,48,1,23634831
1990,21740,48,2,30315240
1990,21740,48,3,1411532
1990,21740,49,0,54128449
1990,21740,49,1,21490274
1990,21740,49,2,30507624
1990,21740,49,3,2130548
1990,21740,50,0,53131222
1990,21740,50,1,19543789
1990,21740,50,2,31773928
1990,21740,50,3,1813505
1990,21740,51,0,52003713
1990,21740,51,1,18128653
1990,21740,51,2,32101670
1990,21740,51,3,1773392
1990,21740,52,0,45094185
1990,21740,52,1,14091953
1990,21740,52,2,29193891
1990,21740,52,3,1808345
1990,21740,53,0,41342256
1990,21740,53,1,11884483
1990,21740,53,2,27673483
1990,21740,53,3,1784290
1990,21740,54,0,36532055
1990,21740,54,1,11900782
1990,21740,54,2,23396041
1990,21740,54,3,1235233
1990,21740,55,0,30284789
1990,21740,55,1,8980866
1990,21740,55,2,20213780
1990,21740,55,3,1090144
1990,21740,56,0,28026059
1990,21740,56,1,7317489
1990,21740,56,2,19604411
1990,21740,56,3,1104160
1990,21740,57,0,22130604
1990,21740,57,1,5007199
1990,21740,57,2,16484616
1990,21740,57,3,638790
1990,21740,58,0,19601039
1990,21740,58,1,4645637
1990,21740,58,2,14585689
1990,21740,58,3,369711
1990,21740,59,0,16531724
1990,21740,59,1,3502836
1990,21740,59,2,12449916
1990,21740,59,3,578968
1990,21740,60,0,15149701
1990,21740,60,1,3445119
1990,21740,60,2,11504827
1990,21740,60,3,199751
1990,21740,61,0,11277051
1990,21740,61,1,1783848
1990,21740,61,2,9395499
1990,21740,61,3,97703
1990,21740,62,0,8127001
1990,21740,62,1,1444863
1990,21740,62,2,6442275
1990,21740,62,3,239865
1990,21740,63,0,6443952
1990,21740,63,1,718623
1990,21740,63,2,5667742
1990,21740,63,3,57589
1990,21740,64,0,4722882
1990,21740,64,1,367619
1990,21740,64,2,4219679
1990,21740,64,3,135583
1990,21740,65,0,3641889
1990,21740,65,1,312961
1990,21740,65,2,3223949
1990,21740,65,3,104976
1990,21740,66,0,2673078
1990,21740,66,1,373632
1990,21740,66,2,2279043
1990,21740,66,3,20405
1990,21740,67,0,1143219
1990,21740,67,1,44053
1990,21740,67,2,1099166
1990,21740,68,0,728447
1990,21740,68,1,55318
1990,21740,68,2,642522
1990,21740,68,3,30607
1990,21740,69,0,1270399
1990,21740,69,1,14222
1990,21740,69,2,1245974
1990,21740,69,3,10202
1990,21740,70,0,453343
1990,21740,70,2,422736
