region,year,species_code,length,sex,abund
wgoa,1990,10110,10,0,10220
wgoa,1990,10110,10,1,10220
wgoa,1990,10110,12,0,16383
wgoa,1990,10110,12,1,16383
wgoa,1990,10110,13,0,14473
wgoa,1990,10110,13,2,14473
wgoa,1990,10110,14,0,14473
wgoa,1990,10110,14,2,14473
wgoa,1990,10110,16,0,137678
wgoa,1990,10110,16,1,32296
wgoa,1990,10110,16,2,105382
wgoa,1990,10110,17,0,319098
wgoa,1990,10110,17,1,109284
wgoa,1990,10110,17,2,209813
wgoa,1990,10110,18,0,1611188
wgoa,1990,10110,18,1,587083
wgoa,1990,10110,18,2,1024105
wgoa,1990,10110,19,0,2487078
wgoa,1990,10110,19,1,837731
wgoa,1990,10110,19,2,1649349
wgoa,1990,10110,20,0,2878245
wgoa,1990,10110,20,1,1043478
wgoa,1990,10110,20,2,1834768
wgoa,1990,10110,21,0,3664402
wgoa,1990,10110,21,1,1436069
wgoa,1990,10110,21,2,2228333
wgoa,1990,10110,22,0,3467084
wgoa,1990,10110,22,1,1242348
wgoa,1990,10110,22,2,2224736
wgoa,1990,10110,23,0,4718041
wgoa,1990,10110,23,1,1976754
wgoa,1990,10110,23,2,2741290
wgoa,1990,10110,24,0,7304357
wgoa,1990,10110,24,1,2821286
wgoa,1990,10110,24,2,4483072
wgoa,1990,10110,25,0,9875456
wgoa,1990,10110,25,1,3655535
wgoa,1990,10110,25,2,6219920
wgoa,1990,10110,26,0,10660529
wgoa,1990,10110,26,1,4356793
wgoa,1990,10110,26,2,6303736
wgoa,1990,10110,27,0,12187441
wgoa,1990,10110,27,1,4463314
wgoa,1990,10110,27,2,7724125
wgoa,1990,10110,28,0,14444086
wgoa,1990,10110,28,1,4909084
wgoa,1990,10110,28,2,9535000
wgoa,1990,10110,29,0,15055925
wgoa,1990,10110,29,1,5643478
wgoa,1990,10110,29,2,9412448
wgoa,1990,10110,30,0,12896682
wgoa,1990,10110,30,1,4167276
wgoa,1990,10110,30,2,8729406
wgoa,1990,10110,31,0,12607427
wgoa,1990,10110,31,1,5026034
wgoa,1990,10110,31,2,7581393
wgoa,1990,10110,32,0,12976766
wgoa,1990,10110,32,1,5585871
wgoa,1990,10110,32,2,7390895
wgoa,1990,10110,33,0,12445794
wgoa,1990,10110,33,1,5010492
wgoa,1990,10110,33,2,7435300
wgoa,1990,10110,34,0,13717214
wgoa,1990,10110,34,1,5240138
wgoa,1990,10110,34,2,8477075
wgoa,1990,10110,35,0,15256744
wgoa,1990,10110,35,1,6223542
wgoa,1990,10110,35,2,9033201
wgoa,1990,10110,36,0,17182922
wgoa,1990,10110,36,1,7507669
wgoa,1990,10110,36,2,9675253
wgoa,1990,10110,37,0,18291036
wgoa,1990,10110,37,1,6912825
wgoa,1990,10110,37,2,11378212
wgoa,1990,10110,38,0,16016644
wgoa,1990,10110,38,1,5577916
wgoa,1990,10110,38,2,10438726
wgoa,1990,10110,39,0,14651617
wgoa,1990,10110,39,1,4797737
wgoa,1990,10110,39,2,9853880
wgoa,1990,10110,40,0,16338650
wgoa,1990,10110,40,1,5106710
wgoa,1990,10110,40,2,11231941
wgoa,1990,10110,41,0,13021891
wgoa,1990,10110,41,1,1864573
wgoa,1990,10110,41,2,11157318
wgoa,1990,10110,42,0,16173562
wgoa,1990,10110,42,1,2343478
wgoa,1990,10110,42,2,13830085
wgoa,1990,10110,43,0,12708762
wgoa,1990,10110,43,1,1858221
wgoa,1990,10110,43,2,10850542
wgoa,1990,10110,44,0,13211705
wgoa,1990,10110,44,1,813905
wgoa,1990,10110,44,2,12397798
wgoa,1990,10110,45,0,11137339
wgoa,1990,10110,45,1,1061864
wgoa,1990,10110,45,2,10075477
wgoa,1990,10110,46,0,9741596
wgoa,1990,10110,46,1,601452
wgoa,1990,10110,46,2,9140144
wgoa,1990,10110,47,0,8481376
wgoa,1990,10110,47,1,663386
wgoa,1990,10110,47,2,7817989
wgoa,1990,10110,48,0,7203087
wgoa,1990,10110,48,1,503833
wgoa,1990,10110,48,2,6699255
wgoa,1990,10110,49,0,5206174
wgoa,1990,10110,49,1,142628
wgoa,1990,10110,49,2,5063545
wgoa,1990,10110,50,0,6007118
wgoa,1990,10110,50,1,373979
wgoa,1990,10110,50,2,5633140
wgoa,1990,10110,51,0,4408230
wgoa,1990,10110,51,1,136511
wgoa,1990,10110,51,2,4271719
wgoa,1990,10110,52,0,3772643
wgoa,1990,10110,52,1,124622
wgoa,1990,10110,52,2,3648021
wgoa,1990,10110,53,0,3613393
wgoa,1990,10110,53,1,258315
wgoa,1990,10110,53,2,3355079
wgoa,1990,10110,54,0,3256435
wgoa,1990,10110,54,1,133285
wgoa,1990,10110,54,2,3123148
wgoa,1990,10110,55,0,2910083
wgoa,1990,10110,55,1,30559
