year,species_code,sex,bias
1990,10110,0,-4.631288151801894e-4
1990,10110,1,-0.003487571930515822
1990,10110,2,-7.562353332503894e-4
1990,10110,3,-0.002575669036569292
1990,10110,4,-5.7466327278611e-4
1990,10110,12,-0.0015445451909429538
1990,10130,0,-0.0012054005220525628
1990,10130,1,-0.0020639106644435223
1990,10130,2,-0.0011538239613379537
1990,10130,3,-0.010389082996309171
1990,10130,4,-6.145877888905732e-4
1990,10130,12,-9.252936425325786e-4
1990,10180,0,-0.004254214825789788
1990,10180,1,-0.00947354739313876
1990,10180,2,-0.004910556521849998
1990,10180,4,-0.003319844326220479
1990,10180,12,-0.0037099626735916753
1990,10200,0,-0.002536747459145204
1990,10200,1,-0.009133386972708603
1990,10200,2,-0.0033460827821572706
1990,10200,4,-0.002728652216332138
1990,10200,12,-0.0032895842655188824
1990,21720,0,-4.9591915268412737e-5
1990,21720,1,-1.0100406635219334e-4
1990,21720,2,-1.2409505519424662e-4
1990,21720,4,-6.310864443473396e-5
1990,21720,12,-7.264148342370311e-5
1990,21740,0,-4.8086898818814044e-4
1990,21740,1,-1.1535208040323084e-4
1990,21740,2,-2.0564493553904562e-4
1990,21740,3,-1.5375785512899054e-4
1990,21740,4,-1.3258896592174737e-4
1990,21740,12,-8.308008264389943e-5
1990,30060,0,-1.6043012250998025e-4
1990,30060,1,-6.133227358326053e-4
1990,30060,2,-4.596837906944388e-4
1990,30060,3,-2.199359062879039e-4
1990,30060,4,-1.7424971172678728e-4
1990,30060,12,-2.9110805386755093e-4
1990,30420,0,-7.346477294858214e-4
1990,30420,1,-0.0024424306866407263
1990,30420,2,-0.002011118989191853
1990,30420,4,-8.428736071989073e-4
1990,30420,12,-0.0010104224721265976
1993,10110,0,-3.231099896742321e-5
1993,10110,1,-0.0010881069187460054
1993,10110,2,-4.939245916509677e-5
1993,10110,3,-5.788974303582051e-4
1993,10110,4,-1.1001437874070662e-4
1993,10110,12,-1.7894236857133854e-4
1993,10130,0,-0.0010385687319833439
1993,10130,1,-0.0014897768639755742
1993,10130,2,-0.006397806044981753
1993,10130,3,-0.004017366447296048
1993,10130,4,-0.002403804532060096
1993,10130,12,-0.0020438074319355497
1993,10180,0,-0.0011555823129075712
1993,10180,1,-0.002523198194959576
1993,10180,2,-0.002204073685440782
1993,10180,3,-8.781219262811676e-4
1993,10180,4,-0.0013617860046072025
1993,10180,12,-0.001347551723455506
1993,10200,0,-8.508653795451484e-4
1993,10200,1,-0.004993336730193308
1993,10200,2,-0.0015642393118608356
1993,10200,3,-2.4765326352597754e-4
1993,10200,4,-0.001886118191736909
1993,10200,12,-0.0015549842514103085
1993,21720,0,-2.632263996786863e-5
1993,21720,1,-1.1746633347254091e-4
1993,21720,2,-3.457924930667902e-5
1993,21720,3,-0.059762162143159214
1993,21720,4,-1.6246465892922585e-5
1993,21720,12,-2.9332610467182653e-5
1993,21740,0,-1.853519691008936e-4
1993,21740,1,-3.4590408581157856e-4
1993,21740,2,-1.460052372164977e-4
1993,21740,3,-1.0520866262956174e-5
1993,21740,4,-8.924191398142298e-5
1993,21740,12,-1.1224181392776857e-4
1993,30060,0,-1.733171698470586e-4
1993,30060,1,-3.841651531360634e-4
1993,30060,2,-5.884525029536553e-4
1993,30060,3,-7.75703488618049e-4
1993,30060,4,-1.4266117399459264e-4
1993,30060,12,-2.5333374679454424e-4
1993,30420,0,-0.001360430708678427
1993,30420,1,-0.00769576037328161
1993,30420,2,-0.00673389907222283
1993,30420,4,-0.002530938663147573
1993,30420,12,-0.0036996814532835294
1996,10110,0,-1.1046080695606009e-4
1996,10110,1,-3.178697774832991e-4
1996,10110,2,-9.367682659875597e-5
1996,10110,3,-0.0033877751153580213
1996,10110,4,-2.2531400836018652e-5
1996,10110,12,-1.2697949867376547e-4
1996,10130,0,-8.697896368517798e-5
1996,10130,1,-3.277288138200905e-4
1996,10130,2,-1.5049579255307016e-4
1996,10130,3,-3.352648811836734e-4
1996,10130,4,-2.7132524160765827e-5
1996,10130,12,-1.1159727581613326e-4
1996,10180,0,-7.765163531232589e-4
1996,10180,1,-0.0057238176267866555
1996,10180,2,-0.0012650708873698008
1996,10180,4,-8.226047879263976e-4
1996,10180,12,-0.0015896036595200486
1996,10200,0,-0.0015324724556017046
1996,10200,1,-0.0029959841979666445
1996,10200,2,-0.003861835793136621
1996,10200,3,-0.0048081844799692085
1996,10200,4,-0.001614227722333695
1996,10200,12,-0.0020354142805650553
1996,10261,0,-7.274533380782074e-4
1996,10261,1,-0.0024991585707021128
1996,10261,2,-0.0017920421755657698
1996,10261,3,-0.006126970906938888
1996,10261,4,-7.823432955050475e-4
1996,10261,12,-0.0010328505044426783
1996,10262,0,-8.225998748268029e-4
1996,10262,1,-0.006147413337023383
1996,10262,2,-0.0018413106925970913
