year,species_code,sex,bias
1990,10110,0,1.011731353569773e-18
1990,10110,1,6.514248053017073e-19
1990,10110,2,-4.929731753020028e-19
1990,10110,3,2.240684489803376e-18
1990,10110,4,-6.163209731924245e-19
1990,10110,12,-1.3890025469524463e-5
1990,10130,0,9.54274683880584e-19
1990,10130,1,1.8959272200437307e-18
1990,10130,2,-6.971851185854941e-19
1990,10130,3,8.418510986358034e-19
1990,10130,4,-1.2310703200355109e-18
1990,10130,12,-1.958443570197371e-6
1990,10180,0,-6.510603244577372e-19
1990,10180,1,-4.628393365118043e-19
1990,10180,2,2.778268066994105e-19
1990,10180,4,1.4834627026230996e-18
1990,10180,12,-1.683244155280312e-6
1990,10200,0,1.4406768894363569e-18
1990,10200,1,-6.804795214152442e-19
1990,10200,2,-1.2907242056251438e-18
1990,10200,3,0
1990,10200,4,5.043991091011353e-19
1990,10200,12,3.691481155706228e-6
1990,20510,0,3.6855344682753777e-19
1990,20510,1,-1.1569230499083126e-18
1990,20510,2,-7.43052350970669e-19
1990,20510,3,-1.2390881971262907e-19
1990,20510,4,-6.372511206509853e-19
1990,20510,12,-1.2532456521762575e-6
1990,21720,0,-3.7533367313281083e-19
1990,21720,1,4.75330098790901e-19
1990,21720,2,-8.853302571391464e-19
1990,21720,3,1.2721305490496585e-17
1990,21720,4,2.4637067787927186e-19
1990,21720,12,-4.210497059805996e-6
1990,21740,0,-1.4740693920436481e-19
1990,21740,1,7.68569461906977e-19
1990,21740,2,1.0145914648202419e-18
1990,21740,3,-9.453980637096385e-19
1990,21740,4,-1.0433589399603656e-18
1990,21740,12,-8.332927436209347e-7
1990,30060,0,1.7191380697473279e-18
1990,30060,1,2.7822971966891525e-18
1990,30060,2,8.623687016677466e-19
1990,30060,3,9.265000383057946e-19
1990,30060,4,-1.891255164629402e-18
1990,30060,12,-2.5395578597944753e-6
1990,30420,0,4.743384504624082e-19
1990,30420,1,-3.3909357601529396e-18
1990,30420,2,-4.027036640660445e-19
1990,30420,3,0
1990,30420,4,-7.589415207398531e-19
1990,30420,12,-1.3098154997732879e-5
1993,10110,0,6.810573773366223e-20
1993,10110,1,2.066593761868246e-18
1993,10110,2,2.907633098938398e-19
1993,10110,3,6.071532165918825e-18
1993,10110,4,-5.326657825265018e-19
1993,10110,12,-5.433891651747122e-7
1993,10130,0,9.505403734087759e-19
1993,10130,1,1.130479094481837e-18
1993,10130,2,-1.338100298424981e-18
1993,10130,3,4.163336342344337e-18
1993,10130,4,3.618863563849273e-19
1993,10130,12,1.75344422610837e-6
1993,10180,0,-1.3949616201741622e-18
1993,10180,1,1.6369255097424728e-18
1993,10180,2,1.3892782093178619e-18
1993,10180,3,1.7766925923310846e-18
