year,species_code,sex,bias
1990,301502,0,-1.4383748821641026e-18
1990,301502,1,1.0174820387940888e-18
1990,301502,2,-3.562378566738086e-19
1990,301502,3,0
1990,301502,4,5.276450572762788e-19
1990,301502,12,-5.1649014334163494e-5
1993,301502,0,-7.054264135081968e-19
1993,301502,1,-2.574980159653073e-19
1993,301502,2,-1.4548821044298729e-18
1993,301502,3,0
1993,301502,4,7.83961570874134e-19
1993,301502,12,-1.0322363876414814e-5
1996,301502,0,-1.9825411154020652e-19
1996,301502,1,1.0776312502280165e-18
1996,301502,2,-1.0570971181733668e-18
1996,301502,4,-9.29316147844718e-19
1996,301502,12,-4.840557929062757e-5
1999,301502,0,-2.096124200138642e-19
1999,301502,1,-2.2985086056692693e-18
1999,301502,2,-8.834239923955963e-19
1999,301502,4,-2.8912057932946783e-19
1999,301502,12,-3.3894830555388785e-5
2001,301502,0,1.6645692177571569e-18
2001,301502,1,-1.8956050886682046e-18
2001,301502,2,-6.785007143941544e-19
2001,301502,4,1.211755369248505e-19
2001,301502,12,-2.0251663883740533e-5
2003,301502,0,-1.3059076167309378e-18
2003,301502,1,1.977074549826508e-19
2003,301502,2,-2.225544729737137e-18
2003,301502,4,-1.4914729885601876e-18
2003,301502,12,-1.8502841921027666e-5
2005,301502,0,1.95222500935957e-18
2005,301502,1,-7.475288662926372e-19
2005,301502,2,5.328283045043894e-19
2005,301502,4,8.581063535891371e-19
2005,301502,12,-5.14056340832013e-6
2007,301502,0,-1.5449880957918438e-18
2007,301502,1,1.069746143519031e-18
2007,301502,2,6.06475590234079e-19
2007,301502,3,-5.551115123125783e-17
2007,301502,4,-1.8371203478226603e-19
2007,301502,12,-1.1829582968532399e-5
2009,301502,0,1.3629970168389198e-18
2009,301502,1,1.386637515336724e-18
2009,301502,2,1.6068432197349272e-18
2009,301502,4,-1.3810670530470115e-18
2009,301502,12,-1.5917223711982265e-5
2011,301502,0,-9.977590263008494e-19
2011,301502,1,-1.5703444369225532e-18
2011,301502,2,1.235990476633475e-18
2011,301502,3,1.3877787807814457e-17
2011,301502,4,-1.6995601622745745e-18
2011,301502,12,-2.657529851797728e-5
2013,301502,0,2.0956486728700078e-18
2013,301502,1,-6.489268885317652e-19
2013,301502,2,1.5242607013178562e-18
2013,301502,3,0
2013,301502,4,8.844807196592273e-20
2013,301502,12,-1.3153652332053457e-5
2015,301502,0,2.0057740190981832e-18
2015,301502,1,1.4456028966473393e-18
2015,301502,2,-8.673617379884035e-19
2015,301502,4,2.5478751053409354e-18
2015,301502,12,-2.0282250549503453e-5
2017,301502,0,1.935136604830188e-18
2017,301502,1,1.0142536452283752e-18
2017,301502,2,3.5673748901135954e-19
2017,301502,4,-3.278890206486465e-18
2017,301502,12,-1.5033660667085114e-5
2019,301502,0,-1.8586322956894362e-20
2019,301502,1,8.041166112600825e-19
2019,301502,2,1.4704491964334654e-18
2019,301502,3,0
2019,301502,4,1.1647429052987132e-18
2019,301502,12,-1.816715110328917e-5
2021,301502,0,-1.209788924131742e-18
2021,301502,1,2.0135183203302226e-19
2021,301502,2,8.78577622531357e-19
2021,301502,4,-3.3068166260807883e-19
2021,301502,12,-8.324345421873183e-6
2023,301502,0,2.01411403580961e-18
2023,301502,1,-3.752282301297659e-18
2023,301502,2,-4.4028036047889616e-18
2023,301502,3,0
2023,301502,4,1.655493317218251e-18
2023,301502,12,-3.4124707054754725e-5
