year,species_code,sex,bias
1990,3005012,0,1.151061306455444e-18
1990,3005012,1,-7.766830108350705e-19
1990,3005012,2,1.1245940181271213e-18
1990,3005012,3,-1.3877787807814457e-17
1990,3005012,4,-5.3758357719072925e-19
1990,3005012,12,-1.8080081323407213e-5
1993,3005012,0,-7.413017234890968e-19
1993,3005012,1,1.025397986859172e-18
1993,3005012,2,9.680376540049147e-20
1993,3005012,3,-1.8877873120924076e-18
1993,3005012,4,-9.701888487915922e-19
1993,3005012,12,-7.69649074433919e-6
1996,3005012,0,-8.489690225623102e-19
1996,3005012,1,1.1798090913319534e-18
1996,3005012,2,5.722746372694714e-19
1996,3005012,3,3.700743415417188e-17
1996,3005012,4,7.061834685965852e-19
1996,3005012,12,-2.1032125204866447e-6
1999,3005012,0,1.0024196810264686e-18
1999,3005012,1,6.043423220706238e-19
1999,3005012,2,9.614623039022397e-19
1999,3005012,3,-6.1679056923619804e-18
1999,3005012,4,1.6777093962167934e-19
1999,3005012,12,-7.263432513691686e-6
2001,3005012,0,8.162201260787099e-19
2001,3005012,1,3.165870343657673e-19
2001,3005012,2,-1.9849239773196157e-18
2001,3005012,3,-3.700743415417188e-17
2001,3005012,4,6.3824731663297615e-19
2001,3005012,12,-7.635100365931765e-6
2003,3005012,0,-1.331476352175181e-19
2003,3005012,1,1.7668479847911923e-19
2003,3005012,2,-8.173216377198418e-19
2003,3005012,3,1.1895246692412391e-17
2003,3005012,4,-8.33123774646756e-19
2003,3005012,12,-8.474930548610805e-6
2005,3005012,0,2.6674815354802095e-19
2005,3005012,1,4.374850871432737e-19
2005,3005012,2,5.267415554658742e-19
2005,3005012,3,2.3129646346357427e-18
2005,3005012,4,1.0626902246187286e-18
2005,3005012,12,-8.833971733086986e-6
2007,3005012,0,3.359090659397054e-19
2007,3005012,1,6.324512672832109e-19
2007,3005012,2,1.031014896099423e-18
2007,3005012,3,0
2007,3005012,4,-9.864303694310081e-19
2007,3005012,12,-4.326461209168461e-6
2009,3005012,0,1.1117666344978477e-19
2009,3005012,1,2.555619406572975e-19
2009,3005012,2,9.768047874751478e-19
2009,3005012,3,-4.6837533851373795e-18
2009,3005012,4,-3.119378284396854e-19
2009,3005012,12,-1.2507011425425688e-5
2011,3005012,0,-7.925891743687136e-19
2011,3005012,1,1.152230544092438e-18
2011,3005012,2,-1.3010426069826053e-18
2011,3005012,3,9.25185853854297e-18
2011,3005012,4,4.626552373968317e-19
2011,3005012,12,-1.706448005742105e-5
2013,3005012,0,-9.66271409864274e-19
2013,3005012,1,-1.1364044993088805e-18
2013,3005012,2,6.731088487514173e-19
2013,3005012,3,-4.625929269271485e-18
2013,3005012,4,9.814882824605619e-19
2013,3005012,12,-1.9201117897628348e-5
2015,3005012,0,1.0462550964485118e-18
2015,3005012,1,6.014253560579968e-19
2015,3005012,2,1.1425822894654931e-18
2015,3005012,3,-5.204170427930421e-18
2015,3005012,4,-3.144186300207963e-19
2015,3005012,12,-1.426776992658981e-5
2017,3005012,0,1.1019759785918242e-18
2017,3005012,1,-4.015563601798164e-21
2017,3005012,2,6.890938807816523e-19
2017,3005012,3,1.5419764230904951e-18
2017,3005012,4,-9.562307685200023e-19
2017,3005012,12,-3.999659368292205e-5
2019,3005012,0,1.6154612370034016e-18
2019,3005012,1,1.253489880119206e-18
2019,3005012,2,1.4049453151791329e-18
2019,3005012,3,0
2019,3005012,4,-1.4889709835467593e-18
2019,3005012,12,-1.135291059715472e-6
2021,3005012,0,-3.035766082959412e-19
2021,3005012,1,1.3194971120461883e-18
2021,3005012,2,1.0842021724855044e-18
2021,3005012,3,3.0839528461809902e-18
2021,3005012,4,-1.3877787807814457e-19
2021,3005012,12,-1.1591815636894545e-5
2023,3005012,0,9.736560686242373e-19
2023,3005012,1,-5.208422201155854e-19
2023,3005012,2,-1.2016574078381008e-18
2023,3005012,3,2.7755575615628915e-18
2023,3005012,4,1.7432270224276739e-19
2023,3005012,12,-5.236947710101294e-6
