year,species_code,sex,bias
1990,21740,0,1.1395261874513743e-18
1990,21740,1,-7.518207013866644e-19
1990,21740,2,-1.130711981589286e-18
1990,21740,3,1.2845391263328764e-18
1990,21740,4,-1.0477681525625112e-18
1990,21740,12,-3.5263772583070826e-7
1993,21740,0,-7.462124978380593e-19
1993,21740,1,-1.0925085600972885e-18
1993,21740,2,8.142810066271341e-19
1993,21740,3,-1.1901009893329258e-18
1993,21740,4,-8.175985523372134e-19
1993,21740,12,-2.5619377823687733e-7
1996,21740,0,-4.458874259875104e-19
1996,21740,1,1.8822954383428897e-19
1996,21740,2,-3.7564069834755926e-19
1996,21740,3,3.4513769157455223e-18
1996,21740,4,-5.537042773010303e-20
1996,21740,12,-3.1229675401959795e-7
1999,21740,0,5.329678614201841e-19
1999,21740,1,-5.131890283098054e-19
1999,21740,2,5.907669792122721e-19
1999,21740,3,-4.180683577104105e-18
1999,21740,4,-3.9336701104082317e-19
1999,21740,12,-9.260849188788384e-7
2001,21740,0,-4.0945340606451714e-19
2001,21740,1,-1.251350007410353e-18
2001,21740,2,-8.35346347750154e-19
2001,21740,3,-4.620698469316512e-18
2001,21740,4,-4.616213530625354e-19
2001,21740,12,-1.4789296932061767e-6
2003,21740,0,-2.21644155595228e-19
2003,21740,1,-1.1557764565284928e-18
2003,21740,2,9.71048535825827e-19
2003,21740,3,-1.2432184911167118e-18
2003,21740,4,-7.43834165981975e-19
2003,21740,12,-6.6840533669664e-7
2005,21740,0,-1.0671241568462692e-18
2005,21740,1,8.251983201695228e-19
2005,21740,2,-6.016143576672283e-19
2005,21740,3,2.8317648847154293e-18
2005,21740,4,7.825668721335406e-19
2005,21740,12,-3.638221273807167e-7
2007,21740,0,-3.9168712287680546e-19
2007,21740,1,-7.660404635358892e-19
2007,21740,2,-7.549725663584329e-19
2007,21740,3,1.7448878713438587e-19
2007,21740,4,-5.323661723700831e-19
2007,21740,12,-3.3045443397417215e-7
2009,21740,0,-1.0907525606109378e-19
2009,21740,1,-3.1395027062643213e-19
2009,21740,2,-1.6658314629334573e-19
2009,21740,3,-2.8372871368673077e-19
2009,21740,4,-4.0515279933067693e-19
2009,21740,12,-2.52225177078779e-7
2011,21740,0,-9.022732310846957e-19
2011,21740,1,-4.3282039107953074e-19
2011,21740,2,3.8116482626443515e-19
2011,21740,3,8.2793620444347615e-19
2011,21740,4,-2.5436170478223056e-19
2011,21740,12,-1.962747865301865e-6
2013,21740,0,-9.538036792897765e-19
2013,21740,1,3.349116938113367e-19
2013,21740,2,-6.501395421629627e-19
2013,21740,3,-1.5419764230904951e-18
2013,21740,4,1.0735028089412396e-19
2013,21740,12,-6.195486435821622e-7
2015,21740,0,8.556915062706776e-19
2015,21740,1,5.8318890666829415e-19
2015,21740,2,1.181699457399313e-18
2015,21740,3,2.0599841277224584e-18
2015,21740,4,-9.141367796312243e-19
2015,21740,12,-4.4159162032251777e-7
2017,21740,0,2.3112271311541957e-19
2017,21740,1,6.6457577609759625e-19
2017,21740,2,-1.5819704156584045e-18
2017,21740,3,4.307239539783322e-18
2017,21740,4,-1.012269528349447e-19
2017,21740,12,-9.638626109114942e-7
2019,21740,0,-6.982778277555451e-19
2019,21740,1,4.91695195767549e-19
2019,21740,2,-8.854317741964953e-20
2019,21740,3,1.4591554238034081e-18
2019,21740,4,1.708048660622005e-19
2019,21740,12,-1.1618771320645347e-6
2021,21740,0,-1.1066485455877434e-18
2021,21740,1,-1.7543262384704068e-18
2021,21740,2,1.644529071110556e-18
2021,21740,3,-1.5064703870324904e-18
2021,21740,4,-4.740208131071878e-19
2021,21740,12,-4.730425960681215e-7
2023,21740,0,4.103738011229786e-19
2023,21740,1,-1.1487021628393874e-18
2023,21740,2,-8.575252263428697e-19
2023,21740,3,-3.7947076036992655e-18
2023,21740,4,6.276787375588963e-19
2023,21740,12,-6.408415189967612e-7
