year,species_code,sex,sex_desc,iss,nss,nhl
1990,21740,0,total_pre,84.88813971899009,1065,38
1990,21740,1,male,57.18652847652075,503,35
1990,21740,2,female,75.0369678708701,560,35
1990,21740,4,total_post,79.72551591005421,1065,38
1990,21740,12,female_male,141.29893840243994,1063,38
1993,21740,0,total_pre,103.11431324825757,1411,52
1993,21740,1,male,83.54196678501668,642,50
1993,21740,2,female,78.25898461691536,756,46
1993,21740,4,total_post,101.76288565821784,1411,52
1993,21740,12,female_male,165.32237254877504,1398,52
1996,21740,0,total_pre,91.2078394888303,928,59
1996,21740,1,male,62.840777257360294,440,53
1996,21740,2,female,65.68759656025452,485,55
1996,21740,4,total_post,83.15924952257491,928,59
1996,21740,12,female_male,136.39335438037799,925,59
1999,21740,0,total_pre,88.69786962980439,1181,109
1999,21740,1,male,52.614397396466266,522,85
1999,21740,2,female,85.45703392667167,577,97
1999,21740,4,total_post,81.05646606820099,1181,109
1999,21740,12,female_male,107.13626118697351,1099,101
2001,21740,0,total_pre,39.96227591165637,897,126
2001,21740,1,male,25.51844755843757,383,100
2001,21740,2,female,32.50134963482098,504,121
2001,21740,4,total_post,36.82266349887015,897,126
2001,21740,12,female_male,72.50702010389315,887,125
2003,21740,0,total_pre,168.32447866845285,931,139
2003,21740,1,male,111.4034436887571,426,127
2003,21740,2,female,128.79299643553412,493,119
2003,21740,4,total_post,159.11649244303857,931,139
2003,21740,12,female_male,259.0761771386492,919,138
2005,21740,0,total_pre,49.95051531832176,921,105
2005,21740,1,male,111.98505753657066,399,96
2005,21740,2,female,125.18419985559593,509,99
2005,21740,4,total_post,51.92922857518744,921,105
2005,21740,12,female_male,247.81644851413884,908,105
2007,21740,0,total_pre,77.25671929298069,1150,111
2007,21740,1,male,61.53201563518111,563,110
2007,21740,2,female,53.98048293540627,586,110
2007,21740,4,total_post,71.3333377932042,1150,111
2007,21740,12,female_male,122.90111496395768,1149,111
2009,21740,0,total_pre,87.5960411144664,1360,167
2009,21740,1,male,91.96116371816419,606,143
2009,21740,2,female,93.37574644120178,749,154
2009,21740,4,total_post,83.15522626882449,1360,167
2009,21740,12,female_male,192.77888485237017,1355,167
2011,21740,0,total_pre,100.00377401930434,1484,145
2011,21740,1,male,74.73926240595762,631,142
2011,21740,2,female,91.6147974589259,835,143
2011,21740,4,total_post,95.77484668005347,1484,145
2011,21740,12,female_male,180.63404094258618,1466,145
2013,21740,0,total_pre,67.16458038364856,1439,135
2013,21740,1,male,56.67143772756636,704,134
2013,21740,2,female,58.77209740536517,725,132
2013,21740,4,total_post,63.54035071615889,1439,135
2013,21740,12,female_male,144.39973329951786,1429,135
2015,21740,0,total_pre,74.66337280790542,997,107
2015,21740,1,male,56.473099760945395,428,98
2015,21740,2,female,70.66633776965277,568,102
2015,21740,4,total_post,74.17724416243753,997,107
2015,21740,12,female_male,139.51255369007333,996,107
2017,21740,0,total_pre,15.211703257515383,738,149
2017,21740,1,male,16.717186767825584,340,133
2017,21740,2,female,13.805117739473948,393,140
2017,21740,4,total_post,15.386646466833541,738,149
2017,21740,12,female_male,34.17121520253949,733,149
2019,21740,0,total_pre,28.011942717538787,771,154
2019,21740,1,male,30.383625738020367,350,138
2019,21740,2,female,20.30315722308459,415,145
2019,21740,4,total_post,27.313010120673773,771,154
2019,21740,12,female_male,52.306280125819576,765,154
2021,21740,0,total_pre,73.82066564656726,1089,195
2021,21740,1,male,61.68046253712474,500,183
2021,21740,2,female,63.82565768133518,589,188
2021,21740,4,total_post,70.9660557635619,1089,195
2021,21740,12,female_male,141.04987818385504,1089,195
