year,species_code,sex,sex_desc,iss,nss,nhls
1990,3005012,0,total_pre,481.72261662423335,3522,99
1990,3005012,1,male,342.4339687983684,1752,97
1990,3005012,2,female,346.95212580333265,1768,99
1990,3005012,4,total_post,481.7226058947546,3522,99
1990,3005012,12,female_male,686.3721696135569,3520,99
1993,3005012,0,total_pre,498.7910992068839,5639,201
1993,3005012,1,male,346.63351256050066,2699,178
1993,3005012,2,female,408.36284478686184,2864,181
1993,3005012,4,total_post,498.791195784284,5639,201
1993,3005012,12,female_male,741.430297955307,5563,196
1996,3005012,0,total_pre,743.1191010963871,3943,238
1996,3005012,1,male,461.483983347666,1880,200
1996,3005012,2,female,464.7329046099516,2060,193
1996,3005012,4,total_post,743.118979941079,3943,238
1996,3005012,12,female_male,927.0515294377186,3940,238
1999,3005012,0,total_pre,622.160900213107,3677,230
1999,3005012,1,male,418.4079227563547,1819,193
1999,3005012,2,female,473.4804982906016,1843,191
1999,3005012,4,total_post,622.160980081627,3677,230
1999,3005012,12,female_male,897.7507654981068,3662,228
2001,3005012,0,total_pre,372.1683705480639,1959,112
2001,3005012,1,male,248.2483919431423,962,95
2001,3005012,2,female,259.9337568956829,992,97
2001,3005012,4,total_post,372.16838269990944,1959,112
2001,3005012,12,female_male,504.76619737280186,1954,112
2003,3005012,0,total_pre,697.4926995279767,2924,206
2003,3005012,1,male,441.0239119146091,1496,169
2003,3005012,2,female,429.59091748712615,1388,171
2003,3005012,4,total_post,697.4926500865319,2924,206
2003,3005012,12,female_male,871.8152976285751,2884,201
2005,3005012,0,total_pre,751.2495495223586,3697,242
2005,3005012,1,male,492.407263035693,1879,203
2005,3005012,2,female,466.69731724412145,1807,210
2005,3005012,4,total_post,751.2496001216592,3697,242
2005,3005012,12,female_male,963.5334255096454,3686,242
2007,3005012,0,total_pre,679.5198761908085,4253,216
2007,3005012,1,male,446.86752002480483,2040,180
2007,3005012,2,female,506.6826810400039,2206,185
2007,3005012,4,total_post,679.519972845142,4253,216
2007,3005012,12,female_male,957.632883531441,4246,216
2009,3005012,0,total_pre,662.3927322300646,4155,223
2009,3005012,1,male,483.2785423995756,2098,190
2009,3005012,2,female,455.8331184527179,2038,183
2009,3005012,4,total_post,662.3928132800354,4155,223
2009,3005012,12,female_male,942.6929446616136,4136,221
2011,3005012,0,total_pre,553.2576979747734,2475,164
2011,3005012,1,male,363.284113902935,1273,138
2011,3005012,2,female,341.0573237565801,1199,134
2011,3005012,4,total_post,553.2576956926588,2475,164
2011,3005012,12,female_male,706.9475308804294,2472,164
2013,3005012,0,total_pre,383.36581560152524,1671,142
2013,3005012,1,male,236.098593195919,858,118
2013,3005012,2,female,231.49480171990106,802,111
2013,3005012,4,total_post,383.3658592095001,1671,142
2013,3005012,12,female_male,468.52639481189436,1660,142
2015,3005012,0,total_pre,634.244388739012,2517,185
2015,3005012,1,male,362.43681582620206,1298,152
2015,3005012,2,female,347.24248613175337,1199,158
2015,3005012,4,total_post,634.2444468120357,2517,185
2015,3005012,12,female_male,712.1745004289542,2497,185
2017,3005012,0,total_pre,457.28136211147444,2173,150
2017,3005012,1,male,286.3617053137063,1104,123
2017,3005012,2,female,286.8683083862868,1049,130
2017,3005012,4,total_post,457.28139071398624,2173,150
2017,3005012,12,female_male,574.9756874476527,2153,150
2019,3005012,0,total_pre,121.76109476392206,2078,137
2019,3005012,1,male,112.26223360375545,1074,113
2019,3005012,2,female,89.09554806010249,976,116
2019,3005012,4,total_post,121.76109652460974,2078,137
2019,3005012,12,female_male,202.47017901568339,2050,136
2021,3005012,0,total_pre,575.9315536030214,1772,151
2021,3005012,1,male,317.76183560622883,876,130
2021,3005012,2,female,309.80163895090664,884,131
2021,3005012,4,total_post,575.9314682627563,1772,151
2021,3005012,12,female_male,626.9672808696993,1760,151
2023,3005012,0,total_pre,346.3299776773145,1457,137
2023,3005012,1,male,217.8159934463975,758,115
2023,3005012,2,female,226.99348402860795,690,107
2023,3005012,4,total_post,346.3300550374413,1457,137
2023,3005012,12,female_male,442.040459094942,1448,136
