year,species_code,sex,sex_desc,iss,nss,nhls
1990,21740,0,total_pre,516.2829896171711,41084,303
1990,21740,1,male,386.0702408498923,14371,280
1990,21740,2,female,499.50833886366087,19222,280
1990,21740,4,total_post,516.2829643124767,41084,303
1990,21740,12,female_male,888.5399358769956,33593,281
1993,21740,0,total_pre,780.0153982967411,33524,433
1993,21740,1,male,421.4820104633588,13957,404
1993,21740,2,female,489.7772390202519,18129,407
1993,21740,4,total_post,780.0154128186746,33524,433
1993,21740,12,female_male,901.892027307689,32086,426
1996,21740,0,total_pre,343.7015642544617,35968,555
1996,21740,1,male,314.7725691519178,13141,480
1996,21740,2,female,285.9503175160669,14559,479
1996,21740,4,total_post,343.70155967709,35968,555
1996,21740,12,female_male,598.7826612922003,27700,533
1999,21740,0,total_pre,311.6337289175781,21607,484
1999,21740,1,male,158.39816477700933,9677,396
1999,21740,2,female,627.7353030148097,9972,425
1999,21740,4,total_post,311.6336976081608,21607,484
1999,21740,12,female_male,315.7468720460909,19649,457
2001,21740,0,total_pre,90.55948099443393,20272,302
2001,21740,1,male,68.40949230671855,9135,232
2001,21740,2,female,72.90652460532328,10281,258
2001,21740,4,total_post,90.55948073966962,20272,302
2001,21740,12,female_male,143.40291970574646,19416,284
2003,21740,0,total_pre,716.8452968093959,20784,421
2003,21740,1,male,562.8763081658838,8620,369
2003,21740,2,female,683.0019760857829,10384,363
2003,21740,4,total_post,716.8452791916135,20784,421
2003,21740,12,female_male,1238.528431182627,19004,415
2005,21740,0,total_pre,268.1664414578827,22356,422
2005,21740,1,male,618.5637244085841,7041,327
2005,21740,2,female,679.4919793027101,8246,345
2005,21740,4,total_post,268.1664283633045,22356,422
2005,21740,12,female_male,1246.5776063015753,15287,392
2007,21740,0,total_pre,315.0989106285321,21255,493
2007,21740,1,male,248.964779115805,8504,405
2007,21740,2,female,257.73658782975264,9797,408
2007,21740,4,total_post,315.09893662597034,21255,493
2007,21740,12,female_male,510.9421166276796,18301,453
2009,21740,0,total_pre,311.7962367998435,27513,487
2009,21740,1,male,701.7392658244397,11551,402
2009,21740,2,female,572.8342441924076,12900,431
2009,21740,4,total_post,311.79624650629387,27513,487
2009,21740,12,female_male,1186.0418774361212,24451,472
2011,21740,0,total_pre,459.49030281577967,23952,434
2011,21740,1,male,366.09647259395587,10316,383
2011,21740,2,female,416.1129778153686,12057,389
2011,21740,4,total_post,459.4903350843951,23952,434
2011,21740,12,female_male,786.8630019138467,22373,426
2013,21740,0,total_pre,137.87612057268322,28753,397
2013,21740,1,male,113.41014539566525,13469,351
2013,21740,2,female,128.34885297805738,15026,360
2013,21740,4,total_post,137.876119397149,28753,397
2013,21740,12,female_male,251.7188111630646,28495,392
2015,21740,0,total_pre,723.9698917479942,24290,536
2015,21740,1,male,515.6781853656356,10717,465
2015,21740,2,female,659.4910189064053,13403,474
2015,21740,4,total_post,723.9698852553612,24290,536
2015,21740,12,female_male,1182.3429973715595,24120,530
2017,21740,0,total_pre,221.89635945963508,11346,366
2017,21740,1,male,141.33451821199498,4337,291
2017,21740,2,female,177.80866093968478,5308,292
2017,21740,4,total_post,221.8963570589027,11346,366
2017,21740,12,female_male,310.82619620908895,9645,342
2019,21740,0,total_pre,387.2650211865742,12895,387
2019,21740,1,male,239.55048278799163,5434,332
2019,21740,2,female,364.9009335487525,6712,332
2019,21740,4,total_post,387.2650256923276,12895,387
2019,21740,12,female_male,592.2271253480963,12146,377
2021,21740,0,total_pre,457.4471745103179,19833,360
2021,21740,1,male,317.04374396579533,8772,324
2021,21740,2,female,413.263412074229,10371,320
2021,21740,4,total_post,457.4471424890633,19833,360
2021,21740,12,female_male,735.9387277398013,19143,357
2023,21740,0,total_pre,783.5538232240013,24211,387
2023,21740,1,male,465.8348100434285,9244,353
2023,21740,2,female,762.7864553226768,10703,356
2023,21740,4,total_post,783.5538236555726,24211,387
2023,21740,12,female_male,1163.575543998465,19947,378
