year,region,species_code,sex,sex_desc,iss,nss,nhls
1990,egoa,10110,0,total_pre,1342.6715440822425,7918,96
1990,egoa,10110,1,male,611.8754374711688,3499,94
1990,egoa,10110,2,female,897.0046488720308,4278,94
1990,egoa,10110,4,total_post,1342.6712220218346,7918,96
1990,egoa,10110,12,female_male,1446.7776187350219,7777,94
1990,egoa,10130,0,total_pre,327.79686623899477,2475,33
1990,egoa,10130,1,male,182.0380571668098,1225,33
1990,egoa,10130,2,female,174.95288826541676,1215,33
1990,egoa,10130,4,total_post,327.7969189059361,2475,33
1990,egoa,10130,12,female_male,357.43514844606375,2440,33
1990,egoa,10180,0,total_pre,685.6058548523563,2911,60
1990,egoa,10180,1,male,513.2905238374872,1493,60
1990,egoa,10180,2,female,405.70338128921355,1418,60
1990,egoa,10180,4,total_post,685.605446757344,2911,60
1990,egoa,10180,12,female_male,758.5829515221143,2911,60
1990,egoa,10200,0,total_pre,310.25519303891735,3397,46
1990,egoa,10200,1,male,318.0408446907649,1979,46
1990,egoa,10200,2,female,128.55040790173666,1417,46
1990,egoa,10200,4,total_post,310.25512281262314,3397,46
1990,egoa,10200,12,female_male,245.9540761897057,3396,46
1990,egoa,20510,0,total_pre,508.86382625550726,1559,53
1990,egoa,20510,1,male,326.4448536844297,849,44
1990,egoa,20510,2,female,236.26249347052914,573,45
1990,egoa,20510,4,total_post,508.8633953675056,1559,53
1990,egoa,20510,12,female_male,533.8771380741613,1422,45
1990,egoa,21720,0,total_pre,161.34325746464987,480,21
1990,egoa,21720,1,male,98.45480817679582,218,21
1990,egoa,21720,2,female,103.96400853294242,262,21
1990,egoa,21720,4,total_post,161.3434675527452,480,21
1990,egoa,21720,12,female_male,199.82280795297692,480,21
1990,egoa,21740,0,total_pre,99.969954598232,8521,77
1990,egoa,21740,1,male,207.3537303221107,3003,74
1990,egoa,21740,2,female,235.2065536952994,3265,74
1990,egoa,21740,4,total_post,99.96995180791295,8521,77
1990,egoa,21740,12,female_male,437.42214857528995,6268,74
1990,egoa,30060,0,total_pre,171.00462566579242,6417,62
1990,egoa,30060,1,male,123.55106968919813,3094,60
1990,egoa,30060,2,female,107.16202403238606,3049,60
1990,egoa,30060,4,total_post,171.00461778357376,6417,62
1990,egoa,30060,12,female_male,202.46834281757629,6143,60
1990,egoa,30420,0,total_pre,8.202041722572815,36,2
1990,egoa,30420,1,male,4.474038589962842,14,2
1990,egoa,30420,2,female,21.11788196242136,22,2
1990,egoa,30420,4,total_post,8.20215831803407,36,2
1990,egoa,30420,12,female_male,7.856870292626017,36,2
1990,goa,10110,0,total_pre,3572.6917022365988,54708,492
1990,goa,10110,1,male,1471.5343452865118,16829,485
1990,goa,10110,2,female,2736.0101319808996,37574,490
1990,goa,10110,4,total_post,3572.6915797730803,54708,492
1990,goa,10110,12,female_male,3997.865462411585,54403,490
1990,goa,10130,0,total_pre,1852.8394320786215,24322,286
1990,goa,10130,1,male,778.1309817078951,11255,276
1990,goa,10130,2,female,985.3146850775257,12939,285
1990,goa,10130,4,total_post,1852.8393816401313,24322,286
1990,goa,10130,12,female_male,1717.7652235496928,24194,285
1990,goa,10180,0,total_pre,795.0498093069803,7435,195
1990,goa,10180,1,male,317.6433068974603,3401,188
1990,goa,10180,2,female,705.6853383312738,4034,194
1990,goa,10180,4,total_post,795.0499791347341,7435,195
1990,goa,10180,12,female_male,803.5340510001115,7435,195
1990,goa,10200,0,total_pre,1238.5392895237737,14387,237
1990,goa,10200,1,male,433.4740578605337,6793,227
1990,goa,10200,2,female,997.4772306658714,7593,237
1990,goa,10200,4,total_post,1238.5392459886332,14387,237
1990,goa,10200,12,female_male,1087.9465523710498,14386,237
1990,goa,20510,0,total_pre,511.91083240507686,5172,155
1990,goa,20510,1,male,391.33803439640496,2890,144
