year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,21740,0,1,18.081499999999973,1.4902943012064485,17.46,2.13
1990,21740,0,2,26.64438000000001,0.7681791549033702,26.83,2.38
1990,21740,0,3,32.305679999999974,1.4427950140283303,33.13,3.11
1990,21740,0,4,42.72905999999999,1.240182333708106,41.55,3.51
1990,21740,0,5,46.83769999999996,0.5074843749137141,46.44,3.57
1990,21740,0,6,49.092419999999976,0.5320323867219382,49.08,4.12
1990,21740,0,7,51.77494,0.7703377420805418,52.96,4.52
1990,21740,0,8,53.323619999999984,0.8280623588476176,53.41,4.5
1990,21740,0,9,55.112280000000005,0.963530998759844,55.8,4.6
1990,21740,0,10,57.08865999999994,1.1239999805661143,58.21,3.59
1990,21740,0,11,58.162579999999984,1.2270409947534806,59.19,3.06
1990,21740,0,12,58.85775999999997,1.32563312751966,58.92,3.64
1990,21740,0,13,59.22166,1.6009851189508926,60.38,2.47
1990,21740,0,14,59.77661855670105,2.8622722777198706,58.52,6.28
1990,21740,0,15,61.59602298850574,4.296554084854351,NA,NA
1990,21740,0,16,63.68964577656674,4.100819874692711,62.87,2.67
1990,21740,0,17,64.42357414448674,4.239388927008637,NA,NA
1990,21740,0,18,64.52233333333332,4.4784914319018165,NA,NA
1990,21740,0,19,62.86358974358974,4.295204478423697,NA,NA
1990,21740,0,20,63.24541666666667,5.086986789981794,NA,NA
1990,21740,0,24,65.5,4.135214625627067,NA,NA
1990,21740,1,1,19.569700000000022,1.2806408520674202,18.74,1.68
1990,21740,1,2,26.62946000000002,0.4662762437342716,26.7,2.31
1990,21740,1,3,32.6492,1.959429531311691,33.5,3.31
1990,21740,1,4,41.59622000000004,1.3420999874646842,40.86,2.92
1990,21740,1,5,45.35652000000001,0.5957221326412484,44.98,3.42
1990,21740,1,6,47.518820000000005,0.6022895591209034,47.47,3.85
1990,21740,1,7,50.032299999999985,0.9184318942026007,51.75,4.31
1990,21740,1,8,51.120499999999936,1.0691633038692834,51.21,4.48
1990,21740,1,9,52.45394,1.502166863891608,53.65,4.03
1990,21740,1,10,54.19939999999993,1.8787911412141078,55.99,2.83
1990,21740,1,11,55.82261133603236,1.8842791119032245,55,0
1990,21740,1,12,57.06490909090912,1.662562878728773,57.45,2.65
1990,21740,1,13,57.55313025210084,2.0959617493116665,59.88,1.36
1990,21740,1,14,57.47281725888324,2.7214139851334633,55,0
1990,21740,1,15,58.234705882352955,2.740537013400048,NA,NA
1990,21740,1,16,60.00788888888888,2.079624211027976,61,0
1990,21740,1,17,60.09701923076922,2.0497505790997574,NA,NA
1990,21740,1,18,59.38620689655173,2.7281291519923943,NA,NA
1990,21740,1,19,59.8,2.2424476423255526,NA,NA
1990,21740,1,20,58.5,3.5355339059327378,NA,NA
1990,21740,1,24,61,0,NA,NA
1990,21740,2,1,20.050779999999985,1.6639386332284916,18.7,1.63
1990,21740,2,2,26.853500000000018,0.459584143732506,26.94,2.39
1990,21740,2,3,32.29997999999996,2.0714389003385234,32.81,2.79
1990,21740,2,4,43.92983999999998,1.5612209311919898,42.16,3.81
1990,21740,2,5,48.020300000000034,0.5674180438380029,47.62,3.33
1990,21740,2,6,50.341980000000056,0.6084576575589169,50.43,4.03
1990,21740,2,7,52.90435999999997,0.9440027928697521,53.86,4.54
1990,21740,2,8,54.95777999999994,1.0930982568819678,55.25,4.12
1990,21740,2,9,56.676439999999964,1.1826952534465713,57.24,4.37
1990,21740,2,10,58.03041999999998,1.0892773171913084,58.41,3.45
1990,21740,2,11,59.01111999999999,1.475764108863615,59.79,2.69
1990,21740,2,12,60.151459999999986,1.749466356769096,60.51,3.78
1990,21740,2,13,60.722323232323284,2.415079829647144,60.34,2.61
1990,21740,2,14,61.93064655172414,3.9361257020312634,69.51,2.3
1990,21740,2,15,65.06759999999998,4.217948293600412,NA,NA
1990,21740,2,16,66.44277439024388,3.601932702110743,65.34,2.17
1990,21740,2,17,66.71954545454544,3.387487021415495,NA,NA
1990,21740,2,18,67.64409836065573,3.2221288909917822,NA,NA
1990,21740,2,19,64.6032,4.336818841808667,NA,NA
1990,21740,2,20,67.80928571428572,4.35607173827647,NA,NA
1990,21740,2,24,68.75,1.5,NA,NA
1990,21740,3,1,15.669559999999983,1.8479176945989841,15.9,1.51
1990,21740,3,2,23.95405999999999,4.5017792648572845,25.88,1.92
1990,21740,3,3,31.149820000000034,4.285148628126014,31.4,3.6
1990,21740,3,4,46.23145790554415,3.4424540440573255,45.35,3
1990,21740,3,5,48.714036885245854,1.2660166859682507,48.19,2.51
1990,21740,3,6,50.56266802443996,1.0248792909391256,50.4,3.2
1990,21740,3,7,52.585723014256644,1.0211624211991268,53.06,3.79
1990,21740,3,8,53.49704684317716,1.0477517406552646,53.25,3.8
1990,21740,3,9,54.69910204081628,1.3468364849430463,54.31,3.57
1990,21740,3,10,56.37918200408997,1.419771449514256,57.11,3.36
1990,21740,3,11,57.352448979591884,1.7079405920285262,58.28,2.7
1990,21740,3,12,58.14685185185185,1.7187454567262663,58.02,3.62
1990,21740,3,13,58.8589352818371,2.237258276601342,60.46,3
1990,21740,3,14,59.29865934065932,3.2438852955997652,57.79,5.34
1990,21740,3,15,61.0355027932961,4.104315778518521,NA,NA
1990,21740,3,16,63.61435483870966,3.911519466125177,65.26,3.44
1990,21740,3,17,63.71864583333334,3.818257907029052,NA,NA
1990,21740,3,18,63.57033898305084,4.519861519888785,NA,NA
1990,21740,3,19,62.33,3.991980754566282,NA,NA
1990,21740,3,20,65.937,5.89518456972393,NA,NA
1990,21740,3,24,67.2,3.7013511046643495,NA,NA
1990,21740,4,1,18.04165954497062,1.5061266803419278,17.481291168952577,1.5927310884871204
1990,21740,4,2,26.573193707060017,0.7539726414259835,26.812433703629463,2.3462278817307785
1990,21740,4,3,32.378176600542396,1.5709596536421875,33.17210183271602,3.066545022460752
1990,21740,4,4,42.94036538145425,1.189323551304587,41.5804487806465,3.3885116211938207
1990,21740,4,5,46.985277718658814,0.4885800627495629,46.59812818499619,3.3468860207143005
1990,21740,4,6,49.196251799854025,0.521688543001069,49.216322705570086,3.9325634035185764
1990,21740,4,7,51.70241627147952,0.7746380143408861,53.00862322628092,4.424966143743477
1990,21740,4,8,53.23624856232143,0.8754909272606578,53.39010840348712,4.269081789661302
1990,21740,4,9,55.11764032847496,1.1308545150474087,55.760963140757084,4.214672252543263
1990,21740,4,10,57.057965655990884,1.070129074407445,58.0932438476811,3.375124149333834
1990,21740,4,11,58.07974728775786,1.2196507733683486,59.360412935075246,2.4700499640998306
1990,21740,4,12,58.935058296262454,1.3446509942538163,59.10582440215943,3.2845344535144196
1990,21740,4,13,59.34433212568074,1.6876812454698595,60.24880848128495,2.363914483242015
1990,21740,4,14,59.8331111502838,3.00767306362287,59.65654308013375,0.9742728022502617
1990,21740,4,15,62.077022098672174,4.277911013744752,NA,NA
1990,21740,4,16,63.84243414547967,3.780511141487703,63.870387423998515,1.476427283502952
1990,21740,4,17,64.2976156466859,4.00243911050226,NA,NA
