year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,10130,0,13,43.333333333333336,4.618802153517007,NA,NA
1990,egoa,10130,0,14,42.73500000000001,3.256032862242026,NA,NA
1990,egoa,10130,0,15,44.05166666666667,2.4036506956433303,43.14,1.8
1990,egoa,10130,0,16,43.245,4.269281750677351,48,0
1990,egoa,10130,0,17,43.204,4.1434381858548335,NA,NA
1990,egoa,10130,0,18,45.093333333333334,5.034494347333536,40.47,2.95
1990,egoa,10130,0,19,42.39,3.1275762713854527,NA,NA
1990,egoa,10130,0,20,41.455,3.7091373660192204,40,0
1990,egoa,10130,0,21,49,NA,NA,NA
1990,egoa,10130,0,22,47.5,1,NA,NA
1990,egoa,10130,0,23,45.333333333333336,4.725815626252609,NA,NA
1990,egoa,10130,0,24,46.5,3.5355339059327378,47,0
1990,egoa,10130,0,25,47,0,NA,NA
1990,egoa,10130,0,26,49,NA,49,0
1990,egoa,10130,0,27,49,0,NA,NA
1990,egoa,10130,0,31,38,0,NA,NA
1990,egoa,10130,0,36,38,0,NA,NA
1990,egoa,10130,1,14,38.5,1,NA,NA
1990,egoa,10130,1,16,38,NA,NA,NA
1990,egoa,10130,1,17,39,1.4142135623730951,NA,NA
1990,egoa,10130,1,18,39.39,0.8626702730475871,38,0
1990,egoa,10130,1,19,38,NA,NA,NA
1990,egoa,10130,1,20,40,0,40,0
1990,egoa,10130,1,22,38,NA,NA,NA
1990,egoa,10130,1,24,38,NA,NA,NA
1990,egoa,10130,1,31,38,0,NA,NA
1990,egoa,10130,1,36,38,0,NA,NA
1990,egoa,10130,2,11,42,NA,NA,NA
1990,egoa,10130,2,12,48,NA,NA,NA
1990,egoa,10130,2,13,46,NA,NA,NA
1990,egoa,10130,2,14,44.7975,1.6098938888427816,NA,NA
1990,egoa,10130,2,15,44.215,2.0594149654695633,43.16,1.82
1990,egoa,10130,2,16,46.666666666666664,2.309401076758503,48,0
1990,egoa,10130,2,17,45.5925,1.8250730578984142,NA,NA
1990,egoa,10130,2,18,46.666666666666664,2.309401076758503,44,0
1990,egoa,10130,2,20,46.5,0.7071067811865476,NA,NA
1990,egoa,10130,2,21,46.5,3.5355339059327378,NA,NA
1990,egoa,10130,2,22,46.666666666666664,2.516611478423583,NA,NA
1990,egoa,10130,2,23,48,1.4142135623730951,NA,NA
1990,egoa,10130,2,24,47,NA,47,0
1990,egoa,10130,2,25,47.120000000000005,0.1697056274847728,NA,NA
1990,egoa,10130,2,26,49,0,49,0
1990,egoa,10130,2,28,49,NA,NA,NA
1990,egoa,10130,2,33,49,NA,NA,NA
1990,egoa,10130,4,11,42,NA,NA,NA
1990,egoa,10130,4,12,48,NA,NA,NA
1990,egoa,10130,4,13,46,NA,NA,NA
1990,egoa,10130,4,14,42.67629018347473,3.056036307128579,NA,NA
1990,egoa,10130,4,15,44.215,2.0594149654695633,43.16,1.82
1990,egoa,10130,4,16,46.451188676429076,2.682619903762836,48,0
1990,egoa,10130,4,17,44.016324495077,3.7418354380835077,NA,NA
