year,species_code,sex,sex_desc,length,iss,nss,nhl
1982,10110,0,total,13,4.000000000000001,1,1
1982,10110,0,total,17,2.5950227737804474,3,2
1982,10110,0,total,17,2.5950227737804474,3,1
1982,10110,0,total,18,5.000000000000001,5,2
1982,10110,0,total,18,5.000000000000001,5,1
1982,10110,0,total,19,4.921875,5,4
1982,10110,0,total,20,4.242204496011603,9,2
1982,10110,0,total,20,4.242204496011603,9,4
1982,10110,0,total,21,4.533665008923623,4,2
1982,10110,0,total,21,4.533665008923623,4,1
1982,10110,0,total,22,2.0893916953172766,9,4
1982,10110,0,total,22,2.0893916953172766,9,5
1982,10110,0,total,23,3.724137931034483,4,2
1982,10110,0,total,23,3.724137931034483,4,2
1982,10110,0,total,24,3.7118022244183084,9,4
1982,10110,0,total,24,3.7118022244183084,9,4
1982,10110,0,total,25,1.7135419897356667,7,4
1982,10110,0,total,25,1.7135419897356667,7,3
1982,10110,0,total,26,2,2,1
1982,10110,0,total,26,2,2,1
1982,10110,0,total,27,6.096721319002208,8,4
1982,10110,0,total,27,6.096721319002208,8,4
1982,10110,0,total,28,1.2526096033402923,5,2
1982,10110,0,total,28,1.2526096033402923,5,1
1982,10110,0,total,29,5.52346570397112,5,1
1982,10110,0,total,29,5.52346570397112,5,3
1982,10110,0,total,30,4.9495223461814435,12,3
1982,10110,0,total,30,4.9495223461814435,12,4
1982,10110,0,total,31,6.402387086061216,14,6
1982,10110,0,total,31,6.402387086061216,14,5
1982,10110,0,total,32,8.892199638415414,10,4
1982,10110,0,total,32,8.892199638415414,10,5
1982,10110,0,total,33,4.355837469716376,10,4
1982,10110,0,total,33,4.355837469716376,10,4
1982,10110,0,total,34,5.445588810221926,8,5
1982,10110,0,total,34,5.445588810221926,8,3
1982,10110,0,total,35,4.748794748591934,8,4
1982,10110,0,total,35,4.748794748591934,8,3
1982,10110,0,total,36,5.260219336163886,13,6
1982,10110,0,total,36,5.260219336163886,13,5
1982,10110,0,total,37,5.000578255242139,10,5
1982,10110,0,total,37,5.000578255242139,10,5
